gene	length	distribution
1460	3	(prob=0.0002,cumulative=0.4854)
1461	5	(prob=0.0003,cumulative=0.4857)
1462	4	(prob=0.0002,cumulative=0.4860)
1463	4	(prob=0.0002,cumulative=0.4862)
1464	10	(prob=0.0006,cumulative=0.4868)
1465	5	(prob=0.0003,cumulative=0.4871)
1466	6	(prob=0.0004,cumulative=0.4874)
1467	2	(prob=0.0001,cumulative=0.4876)
1468	4	(prob=0.0002,cumulative=0.4878)
1469	6	(prob=0.0004,cumulative=0.4881)
1470	4	(prob=0.0002,cumulative=0.4884)
1471	5	(prob=0.0003,cumulative=0.4887)
1472	1	(prob=0.0001,cumulative=0.4887)
1473	3	(prob=0.0002,cumulative=0.4889)
1474	2	(prob=0.0001,cumulative=0.4890)
1475	6	(prob=0.0004,cumulative=0.4894)
1476	1	(prob=0.0001,cumulative=0.4894)
1477	7	(prob=0.0004,cumulative=0.4899)
1478	7	(prob=0.0004,cumulative=0.4903)
1479	7	(prob=0.0004,cumulative=0.4907)
1480	3	(prob=0.0002,cumulative=0.4909)
1481	9	(prob=0.0005,cumulative=0.4914)
1482	1	(prob=0.0001,cumulative=0.4914)
1483	5	(prob=0.0003,cumulative=0.4917)
1484	4	(prob=0.0002,cumulative=0.4920)
1485	5	(prob=0.0003,cumulative=0.4923)
1486	5	(prob=0.0003,cumulative=0.4926)
1487	5	(prob=0.0003,cumulative=0.4929)
1488	6	(prob=0.0004,cumulative=0.4932)
1489	10	(prob=0.0006,cumulative=0.4938)
1490	2	(prob=0.0001,cumulative=0.4939)
1491	5	(prob=0.0003,cumulative=0.4942)
1492	4	(prob=0.0002,cumulative=0.4945)
1493	8	(prob=0.0005,cumulative=0.4949)
1494	2	(prob=0.0001,cumulative=0.4950)
1495	5	(prob=0.0003,cumulative=0.4953)
1496	9	(prob=0.0005,cumulative=0.4959)
1497	5	(prob=0.0003,cumulative=0.4962)
1498	3	(prob=0.0002,cumulative=0.4963)
1499	4	(prob=0.0002,cumulative=0.4966)
1500	2	(prob=0.0001,cumulative=0.4967)
1501	6	(prob=0.0004,cumulative=0.4971)
1502	2	(prob=0.0001,cumulative=0.4972)
1503	5	(prob=0.0003,cumulative=0.4975)
1504	8	(prob=0.0005,cumulative=0.4979)
1505	8	(prob=0.0005,cumulative=0.4984)
1506	5	(prob=0.0003,cumulative=0.4987)
1507	9	(prob=0.0005,cumulative=0.4992)
1508	4	(prob=0.0002,cumulative=0.4995)
1509	8	(prob=0.0005,cumulative=0.4999)
1510	3	(prob=0.0002,cumulative=0.5001)
1511	4	(prob=0.0002,cumulative=0.5004)
1512	4	(prob=0.0002,cumulative=0.5006)
1513	3	(prob=0.0002,cumulative=0.5008)
1514	3	(prob=0.0002,cumulative=0.5009)
1515	7	(prob=0.0004,cumulative=0.5014)
1516	8	(prob=0.0005,cumulative=0.5018)
1517	8	(prob=0.0005,cumulative=0.5023)
1518	6	(prob=0.0004,cumulative=0.5027)
1519	6	(prob=0.0004,cumulative=0.5030)
1520	5	(prob=0.0003,cumulative=0.5033)
1521	4	(prob=0.0002,cumulative=0.5035)
1522	4	(prob=0.0002,cumulative=0.5038)
1523	8	(prob=0.0005,cumulative=0.5042)
1524	4	(prob=0.0002,cumulative=0.5045)
1525	6	(prob=0.0004,cumulative=0.5048)
1526	2	(prob=0.0001,cumulative=0.5050)
1527	5	(prob=0.0003,cumulative=0.5052)
1528	2	(prob=0.0001,cumulative=0.5054)
1529	5	(prob=0.0003,cumulative=0.5057)
1530	4	(prob=0.0002,cumulative=0.5059)
1531	4	(prob=0.0002,cumulative=0.5061)
1532	1	(prob=0.0001,cumulative=0.5062)
1533	6	(prob=0.0004,cumulative=0.5065)
1534	6	(prob=0.0004,cumulative=0.5069)
1535	6	(prob=0.0004,cumulative=0.5073)
1536	2	(prob=0.0001,cumulative=0.5074)
1537	5	(prob=0.0003,cumulative=0.5077)
1538	5	(prob=0.0003,cumulative=0.5080)
1539	10	(prob=0.0006,cumulative=0.5086)
1540	2	(prob=0.0001,cumulative=0.5087)
1541	7	(prob=0.0004,cumulative=0.5091)
1542	4	(prob=0.0002,cumulative=0.5093)
1543	4	(prob=0.0002,cumulative=0.5096)
1544	1	(prob=0.0001,cumulative=0.5096)
1545	4	(prob=0.0002,cumulative=0.5098)
1546	1	(prob=0.0001,cumulative=0.5099)
1547	4	(prob=0.0002,cumulative=0.5101)
1548	4	(prob=0.0002,cumulative=0.5104)
1549	7	(prob=0.0004,cumulative=0.5108)
1550	8	(prob=0.0005,cumulative=0.5113)
1551	9	(prob=0.0005,cumulative=0.5118)
1552	1	(prob=0.0001,cumulative=0.5119)
1553	3	(prob=0.0002,cumulative=0.5120)
1554	5	(prob=0.0003,cumulative=0.5123)
1555	4	(prob=0.0002,cumulative=0.5126)
1556	7	(prob=0.0004,cumulative=0.5130)
1557	1	(prob=0.0001,cumulative=0.5130)
1558	4	(prob=0.0002,cumulative=0.5133)
1559	5	(prob=0.0003,cumulative=0.5136)
1560	10	(prob=0.0006,cumulative=0.5142)
1561	5	(prob=0.0003,cumulative=0.5144)
1562	7	(prob=0.0004,cumulative=0.5149)
1563	5	(prob=0.0003,cumulative=0.5152)
1564	1	(prob=0.0001,cumulative=0.5152)
1565	6	(prob=0.0004,cumulative=0.5156)
1566	8	(prob=0.0005,cumulative=0.5160)
1567	4	(prob=0.0002,cumulative=0.5163)
1568	2	(prob=0.0001,cumulative=0.5164)
1569	7	(prob=0.0004,cumulative=0.5168)
1570	2	(prob=0.0001,cumulative=0.5169)
1571	5	(prob=0.0003,cumulative=0.5172)
1572	8	(prob=0.0005,cumulative=0.5177)
1573	5	(prob=0.0003,cumulative=0.5180)
1574	7	(prob=0.0004,cumulative=0.5184)
1575	5	(prob=0.0003,cumulative=0.5187)
1576	7	(prob=0.0004,cumulative=0.5191)
1577	3	(prob=0.0002,cumulative=0.5193)
1578	5	(prob=0.0003,cumulative=0.5196)
1579	2	(prob=0.0001,cumulative=0.5197)
1580	8	(prob=0.0005,cumulative=0.5202)
1581	6	(prob=0.0004,cumulative=0.5205)
1582	6	(prob=0.0004,cumulative=0.5209)
1583	6	(prob=0.0004,cumulative=0.5212)
1584	3	(prob=0.0002,cumulative=0.5214)
1585	6	(prob=0.0004,cumulative=0.5218)
1586	5	(prob=0.0003,cumulative=0.5221)
1587	5	(prob=0.0003,cumulative=0.5224)
1588	4	(prob=0.0002,cumulative=0.5226)
1589	6	(prob=0.0004,cumulative=0.5229)
1590	4	(prob=0.0002,cumulative=0.5232)
1591	5	(prob=0.0003,cumulative=0.5235)
1592	3	(prob=0.0002,cumulative=0.5236)
1593	1	(prob=0.0001,cumulative=0.5237)
1594	2	(prob=0.0001,cumulative=0.5238)
1595	5	(prob=0.0003,cumulative=0.5241)
1596	6	(prob=0.0004,cumulative=0.5245)
1597	4	(prob=0.0002,cumulative=0.5247)
1598	4	(prob=0.0002,cumulative=0.5249)
1599	4	(prob=0.0002,cumulative=0.5252)
1600	4	(prob=0.0002,cumulative=0.5254)
1601	7	(prob=0.0004,cumulative=0.5258)
1602	6	(prob=0.0004,cumulative=0.5262)
1604	8	(prob=0.0005,cumulative=0.5267)
1605	6	(prob=0.0004,cumulative=0.5270)
1606	4	(prob=0.0002,cumulative=0.5272)
1607	2	(prob=0.0001,cumulative=0.5274)
1608	3	(prob=0.0002,cumulative=0.5275)
1609	2	(prob=0.0001,cumulative=0.5277)
1610	2	(prob=0.0001,cumulative=0.5278)
1611	3	(prob=0.0002,cumulative=0.5280)
1612	7	(prob=0.0004,cumulative=0.5284)
1613	6	(prob=0.0004,cumulative=0.5287)
1614	3	(prob=0.0002,cumulative=0.5289)
1615	7	(prob=0.0004,cumulative=0.5293)
1616	2	(prob=0.0001,cumulative=0.5294)
1617	7	(prob=0.0004,cumulative=0.5298)
1618	4	(prob=0.0002,cumulative=0.5301)
1619	2	(prob=0.0001,cumulative=0.5302)
1620	4	(prob=0.0002,cumulative=0.5304)
1621	2	(prob=0.0001,cumulative=0.5305)
1623	9	(prob=0.0005,cumulative=0.5311)
1624	7	(prob=0.0004,cumulative=0.5315)
1625	6	(prob=0.0004,cumulative=0.5318)
1626	5	(prob=0.0003,cumulative=0.5321)
1627	3	(prob=0.0002,cumulative=0.5323)
1628	5	(prob=0.0003,cumulative=0.5326)
1629	4	(prob=0.0002,cumulative=0.5328)
1630	10	(prob=0.0006,cumulative=0.5334)
1631	3	(prob=0.0002,cumulative=0.5336)
1632	6	(prob=0.0004,cumulative=0.5340)
1633	4	(prob=0.0002,cumulative=0.5342)
1634	4	(prob=0.0002,cumulative=0.5344)
1635	4	(prob=0.0002,cumulative=0.5347)
1636	5	(prob=0.0003,cumulative=0.5350)
1637	5	(prob=0.0003,cumulative=0.5353)
1638	6	(prob=0.0004,cumulative=0.5356)
1639	5	(prob=0.0003,cumulative=0.5359)
1640	4	(prob=0.0002,cumulative=0.5362)
1641	4	(prob=0.0002,cumulative=0.5364)
1642	2	(prob=0.0001,cumulative=0.5365)
1643	5	(prob=0.0003,cumulative=0.5368)
1644	2	(prob=0.0001,cumulative=0.5369)
1645	8	(prob=0.0005,cumulative=0.5374)
1646	6	(prob=0.0004,cumulative=0.5377)
1647	7	(prob=0.0004,cumulative=0.5382)
1648	10	(prob=0.0006,cumulative=0.5387)
1649	1	(prob=0.0001,cumulative=0.5388)
1650	4	(prob=0.0002,cumulative=0.5390)
1651	6	(prob=0.0004,cumulative=0.5394)
1652	2	(prob=0.0001,cumulative=0.5395)
1653	2	(prob=0.0001,cumulative=0.5396)
1654	8	(prob=0.0005,cumulative=0.5401)
1655	5	(prob=0.0003,cumulative=0.5404)
1656	3	(prob=0.0002,cumulative=0.5406)
1657	4	(prob=0.0002,cumulative=0.5408)
1658	2	(prob=0.0001,cumulative=0.5409)
1659	9	(prob=0.0005,cumulative=0.5415)
1660	5	(prob=0.0003,cumulative=0.5418)
1661	7	(prob=0.0004,cumulative=0.5422)
1662	4	(prob=0.0002,cumulative=0.5424)
1663	4	(prob=0.0002,cumulative=0.5426)
1664	4	(prob=0.0002,cumulative=0.5429)
1665	3	(prob=0.0002,cumulative=0.5431)
1666	4	(prob=0.0002,cumulative=0.5433)
1667	5	(prob=0.0003,cumulative=0.5436)
1668	2	(prob=0.0001,cumulative=0.5437)
1670	3	(prob=0.0002,cumulative=0.5439)
1671	2	(prob=0.0001,cumulative=0.5440)
1672	4	(prob=0.0002,cumulative=0.5442)
1673	2	(prob=0.0001,cumulative=0.5444)
1674	10	(prob=0.0006,cumulative=0.5449)
1675	5	(prob=0.0003,cumulative=0.5452)
1676	2	(prob=0.0001,cumulative=0.5454)
1677	4	(prob=0.0002,cumulative=0.5456)
1678	2	(prob=0.0001,cumulative=0.5457)
1679	2	(prob=0.0001,cumulative=0.5458)
1680	3	(prob=0.0002,cumulative=0.5460)
1681	8	(prob=0.0005,cumulative=0.5465)
1682	5	(prob=0.0003,cumulative=0.5468)
1683	1	(prob=0.0001,cumulative=0.5468)
1684	1	(prob=0.0001,cumulative=0.5469)
1685	3	(prob=0.0002,cumulative=0.5471)
1686	2	(prob=0.0001,cumulative=0.5472)
1687	6	(prob=0.0004,cumulative=0.5475)
1688	6	(prob=0.0004,cumulative=0.5479)
1689	4	(prob=0.0002,cumulative=0.5481)
1690	5	(prob=0.0003,cumulative=0.5484)
1691	7	(prob=0.0004,cumulative=0.5488)
1692	6	(prob=0.0004,cumulative=0.5492)
1693	3	(prob=0.0002,cumulative=0.5494)
1694	3	(prob=0.0002,cumulative=0.5495)
1695	3	(prob=0.0002,cumulative=0.5497)
1696	2	(prob=0.0001,cumulative=0.5498)
1697	3	(prob=0.0002,cumulative=0.5500)
1698	4	(prob=0.0002,cumulative=0.5502)
1699	2	(prob=0.0001,cumulative=0.5504)
1700	1	(prob=0.0001,cumulative=0.5504)
1701	2	(prob=0.0001,cumulative=0.5505)
1702	5	(prob=0.0003,cumulative=0.5508)
1703	4	(prob=0.0002,cumulative=0.5511)
1704	4	(prob=0.0002,cumulative=0.5513)
1705	8	(prob=0.0005,cumulative=0.5518)
1706	3	(prob=0.0002,cumulative=0.5520)
1707	8	(prob=0.0005,cumulative=0.5524)
1708	1	(prob=0.0001,cumulative=0.5525)
1709	1	(prob=0.0001,cumulative=0.5525)
1710	4	(prob=0.0002,cumulative=0.5528)
1711	8	(prob=0.0005,cumulative=0.5533)
1712	5	(prob=0.0003,cumulative=0.5536)
1713	3	(prob=0.0002,cumulative=0.5537)
1714	4	(prob=0.0002,cumulative=0.5540)
1715	1	(prob=0.0001,cumulative=0.5540)
1716	4	(prob=0.0002,cumulative=0.5543)
1717	4	(prob=0.0002,cumulative=0.5545)
1718	2	(prob=0.0001,cumulative=0.5546)
1719	5	(prob=0.0003,cumulative=0.5549)
1720	3	(prob=0.0002,cumulative=0.5551)
1721	4	(prob=0.0002,cumulative=0.5553)
1722	3	(prob=0.0002,cumulative=0.5555)
1723	5	(prob=0.0003,cumulative=0.5558)
1724	5	(prob=0.0003,cumulative=0.5561)
1725	2	(prob=0.0001,cumulative=0.5562)
1726	2	(prob=0.0001,cumulative=0.5563)
1727	2	(prob=0.0001,cumulative=0.5564)
1728	3	(prob=0.0002,cumulative=0.5566)
1729	4	(prob=0.0002,cumulative=0.5569)
1730	1	(prob=0.0001,cumulative=0.5569)
1731	6	(prob=0.0004,cumulative=0.5573)
1732	2	(prob=0.0001,cumulative=0.5574)
1733	2	(prob=0.0001,cumulative=0.5575)
1734	3	(prob=0.0002,cumulative=0.5577)
1735	4	(prob=0.0002,cumulative=0.5579)
1736	3	(prob=0.0002,cumulative=0.5581)
1737	9	(prob=0.0005,cumulative=0.5586)
1738	5	(prob=0.0003,cumulative=0.5589)
1739	6	(prob=0.0004,cumulative=0.5593)
1740	6	(prob=0.0004,cumulative=0.5596)
1741	2	(prob=0.0001,cumulative=0.5597)
1742	2	(prob=0.0001,cumulative=0.5599)
1743	1	(prob=0.0001,cumulative=0.5599)
1744	8	(prob=0.0005,cumulative=0.5604)
1745	9	(prob=0.0005,cumulative=0.5609)
1746	5	(prob=0.0003,cumulative=0.5612)
1747	3	(prob=0.0002,cumulative=0.5614)
1748	5	(prob=0.0003,cumulative=0.5617)
1749	2	(prob=0.0001,cumulative=0.5618)
1750	3	(prob=0.0002,cumulative=0.5620)
1751	1	(prob=0.0001,cumulative=0.5620)
1752	6	(prob=0.0004,cumulative=0.5624)
1753	2	(prob=0.0001,cumulative=0.5625)
1754	3	(prob=0.0002,cumulative=0.5627)
1755	5	(prob=0.0003,cumulative=0.5630)
1756	3	(prob=0.0002,cumulative=0.5632)
1757	7	(prob=0.0004,cumulative=0.5636)
1758	9	(prob=0.0005,cumulative=0.5641)
1759	3	(prob=0.0002,cumulative=0.5643)
1760	5	(prob=0.0003,cumulative=0.5646)
1761	5	(prob=0.0003,cumulative=0.5649)
1762	6	(prob=0.0004,cumulative=0.5652)
1763	3	(prob=0.0002,cumulative=0.5654)
1764	5	(prob=0.0003,cumulative=0.5657)
1765	3	(prob=0.0002,cumulative=0.5659)
1766	10	(prob=0.0006,cumulative=0.5665)
1767	1	(prob=0.0001,cumulative=0.5665)
1768	6	(prob=0.0004,cumulative=0.5669)
1769	6	(prob=0.0004,cumulative=0.5672)
1770	4	(prob=0.0002,cumulative=0.5675)
1771	4	(prob=0.0002,cumulative=0.5677)
1772	5	(prob=0.0003,cumulative=0.5680)
1773	5	(prob=0.0003,cumulative=0.5683)
1774	4	(prob=0.0002,cumulative=0.5685)
1775	3	(prob=0.0002,cumulative=0.5687)
1776	6	(prob=0.0004,cumulative=0.5691)
1777	5	(prob=0.0003,cumulative=0.5694)
1778	2	(prob=0.0001,cumulative=0.5695)
1779	5	(prob=0.0003,cumulative=0.5698)
1780	1	(prob=0.0001,cumulative=0.5698)
1781	4	(prob=0.0002,cumulative=0.5701)
1782	2	(prob=0.0001,cumulative=0.5702)
1783	3	(prob=0.0002,cumulative=0.5704)
1784	5	(prob=0.0003,cumulative=0.5707)
1785	4	(prob=0.0002,cumulative=0.5709)
1786	4	(prob=0.0002,cumulative=0.5711)
1787	4	(prob=0.0002,cumulative=0.5714)
1788	4	(prob=0.0002,cumulative=0.5716)
1789	5	(prob=0.0003,cumulative=0.5719)
1790	5	(prob=0.0003,cumulative=0.5722)
1791	5	(prob=0.0003,cumulative=0.5725)
1792	6	(prob=0.0004,cumulative=0.5728)
1793	3	(prob=0.0002,cumulative=0.5730)
1794	6	(prob=0.0004,cumulative=0.5734)
1795	6	(prob=0.0004,cumulative=0.5737)
1796	3	(prob=0.0002,cumulative=0.5739)
1797	5	(prob=0.0003,cumulative=0.5742)
1798	3	(prob=0.0002,cumulative=0.5744)
1799	2	(prob=0.0001,cumulative=0.5745)
1800	3	(prob=0.0002,cumulative=0.5747)
1801	2	(prob=0.0001,cumulative=0.5748)
1802	2	(prob=0.0001,cumulative=0.5749)
1803	1	(prob=0.0001,cumulative=0.5750)
1804	6	(prob=0.0004,cumulative=0.5753)
1805	4	(prob=0.0002,cumulative=0.5755)
1806	3	(prob=0.0002,cumulative=0.5757)
1807	2	(prob=0.0001,cumulative=0.5758)
1808	8	(prob=0.0005,cumulative=0.5763)
1809	2	(prob=0.0001,cumulative=0.5764)
1810	4	(prob=0.0002,cumulative=0.5767)
1811	7	(prob=0.0004,cumulative=0.5771)
1812	7	(prob=0.0004,cumulative=0.5775)
1813	3	(prob=0.0002,cumulative=0.5777)
1814	2	(prob=0.0001,cumulative=0.5778)
1815	5	(prob=0.0003,cumulative=0.5781)
1816	3	(prob=0.0002,cumulative=0.5783)
1817	4	(prob=0.0002,cumulative=0.5785)
1818	4	(prob=0.0002,cumulative=0.5787)
1819	2	(prob=0.0001,cumulative=0.5789)
1820	3	(prob=0.0002,cumulative=0.5790)
1821	4	(prob=0.0002,cumulative=0.5793)
1822	4	(prob=0.0002,cumulative=0.5795)
1823	6	(prob=0.0004,cumulative=0.5799)
1824	6	(prob=0.0004,cumulative=0.5802)
1825	3	(prob=0.0002,cumulative=0.5804)
1826	4	(prob=0.0002,cumulative=0.5806)
1827	3	(prob=0.0002,cumulative=0.5808)
1828	5	(prob=0.0003,cumulative=0.5811)
1829	5	(prob=0.0003,cumulative=0.5814)
1830	1	(prob=0.0001,cumulative=0.5814)
1832	3	(prob=0.0002,cumulative=0.5816)
1833	5	(prob=0.0003,cumulative=0.5819)
1834	1	(prob=0.0001,cumulative=0.5820)
1835	4	(prob=0.0002,cumulative=0.5822)
1836	5	(prob=0.0003,cumulative=0.5825)
1837	5	(prob=0.0003,cumulative=0.5828)
1838	4	(prob=0.0002,cumulative=0.5830)
1839	5	(prob=0.0003,cumulative=0.5833)
1840	6	(prob=0.0004,cumulative=0.5837)
1841	3	(prob=0.0002,cumulative=0.5839)
1842	7	(prob=0.0004,cumulative=0.5843)
1843	7	(prob=0.0004,cumulative=0.5847)
1844	5	(prob=0.0003,cumulative=0.5850)
1845	3	(prob=0.0002,cumulative=0.5852)
1846	1	(prob=0.0001,cumulative=0.5852)
1847	4	(prob=0.0002,cumulative=0.5855)
1848	2	(prob=0.0001,cumulative=0.5856)
1849	1	(prob=0.0001,cumulative=0.5856)
1850	2	(prob=0.0001,cumulative=0.5858)
1851	7	(prob=0.0004,cumulative=0.5862)
1852	5	(prob=0.0003,cumulative=0.5865)
1853	6	(prob=0.0004,cumulative=0.5868)
1854	3	(prob=0.0002,cumulative=0.5870)
1855	5	(prob=0.0003,cumulative=0.5873)
1856	5	(prob=0.0003,cumulative=0.5876)
1857	5	(prob=0.0003,cumulative=0.5879)
1858	6	(prob=0.0004,cumulative=0.5882)
1859	4	(prob=0.0002,cumulative=0.5885)
1860	4	(prob=0.0002,cumulative=0.5887)
1861	5	(prob=0.0003,cumulative=0.5890)
1862	3	(prob=0.0002,cumulative=0.5892)
1863	6	(prob=0.0004,cumulative=0.5895)
1864	3	(prob=0.0002,cumulative=0.5897)
1865	8	(prob=0.0005,cumulative=0.5902)
1866	6	(prob=0.0004,cumulative=0.5905)
1867	4	(prob=0.0002,cumulative=0.5908)
1868	3	(prob=0.0002,cumulative=0.5909)
1869	5	(prob=0.0003,cumulative=0.5912)
1870	5	(prob=0.0003,cumulative=0.5915)
1871	1	(prob=0.0001,cumulative=0.5916)
1872	3	(prob=0.0002,cumulative=0.5918)
1873	1	(prob=0.0001,cumulative=0.5918)
1874	3	(prob=0.0002,cumulative=0.5920)
1875	6	(prob=0.0004,cumulative=0.5924)
1876	5	(prob=0.0003,cumulative=0.5927)
1877	1	(prob=0.0001,cumulative=0.5927)
1878	7	(prob=0.0004,cumulative=0.5931)
1879	2	(prob=0.0001,cumulative=0.5932)
1880	7	(prob=0.0004,cumulative=0.5937)
1881	6	(prob=0.0004,cumulative=0.5940)
1882	4	(prob=0.0002,cumulative=0.5942)
1883	1	(prob=0.0001,cumulative=0.5943)
1884	4	(prob=0.0002,cumulative=0.5945)
1885	3	(prob=0.0002,cumulative=0.5947)
1886	5	(prob=0.0003,cumulative=0.5950)
1887	2	(prob=0.0001,cumulative=0.5951)
1888	1	(prob=0.0001,cumulative=0.5952)
1889	2	(prob=0.0001,cumulative=0.5953)
1890	2	(prob=0.0001,cumulative=0.5954)
1891	3	(prob=0.0002,cumulative=0.5956)
1892	5	(prob=0.0003,cumulative=0.5959)
1893	2	(prob=0.0001,cumulative=0.5960)
1894	7	(prob=0.0004,cumulative=0.5964)
1895	5	(prob=0.0003,cumulative=0.5967)
1896	5	(prob=0.0003,cumulative=0.5970)
1897	2	(prob=0.0001,cumulative=0.5971)
1898	3	(prob=0.0002,cumulative=0.5973)
1899	2	(prob=0.0001,cumulative=0.5974)
1900	3	(prob=0.0002,cumulative=0.5976)
1901	7	(prob=0.0004,cumulative=0.5980)
1902	2	(prob=0.0001,cumulative=0.5981)
1903	4	(prob=0.0002,cumulative=0.5984)
1905	4	(prob=0.0002,cumulative=0.5986)
1906	4	(prob=0.0002,cumulative=0.5988)
1907	3	(prob=0.0002,cumulative=0.5990)
1908	4	(prob=0.0002,cumulative=0.5993)
1909	3	(prob=0.0002,cumulative=0.5994)
1910	2	(prob=0.0001,cumulative=0.5996)
1911	1	(prob=0.0001,cumulative=0.5996)
1912	2	(prob=0.0001,cumulative=0.5997)
1913	9	(prob=0.0005,cumulative=0.6003)
1914	2	(prob=0.0001,cumulative=0.6004)
1915	5	(prob=0.0003,cumulative=0.6007)
1916	4	(prob=0.0002,cumulative=0.6009)
1917	1	(prob=0.0001,cumulative=0.6010)
1918	6	(prob=0.0004,cumulative=0.6013)
1919	5	(prob=0.0003,cumulative=0.6016)
1920	2	(prob=0.0001,cumulative=0.6017)
1921	5	(prob=0.0003,cumulative=0.6020)
1922	4	(prob=0.0002,cumulative=0.6023)
1923	7	(prob=0.0004,cumulative=0.6027)
1924	3	(prob=0.0002,cumulative=0.6029)
1925	3	(prob=0.0002,cumulative=0.6030)
1926	5	(prob=0.0003,cumulative=0.6033)
1927	1	(prob=0.0001,cumulative=0.6034)
1928	2	(prob=0.0001,cumulative=0.6035)
1929	5	(prob=0.0003,cumulative=0.6038)
1930	2	(prob=0.0001,cumulative=0.6039)
1931	4	(prob=0.0002,cumulative=0.6042)
1932	1	(prob=0.0001,cumulative=0.6042)
1933	4	(prob=0.0002,cumulative=0.6044)
1934	2	(prob=0.0001,cumulative=0.6046)
1935	1	(prob=0.0001,cumulative=0.6046)
1936	2	(prob=0.0001,cumulative=0.6047)
1937	2	(prob=0.0001,cumulative=0.6049)
1938	3	(prob=0.0002,cumulative=0.6050)
1939	2	(prob=0.0001,cumulative=0.6052)
1940	1	(prob=0.0001,cumulative=0.6052)
1941	3	(prob=0.0002,cumulative=0.6054)
1943	6	(prob=0.0004,cumulative=0.6057)
1944	4	(prob=0.0002,cumulative=0.6060)
1945	3	(prob=0.0002,cumulative=0.6062)
1946	7	(prob=0.0004,cumulative=0.6066)
1947	5	(prob=0.0003,cumulative=0.6069)
1948	2	(prob=0.0001,cumulative=0.6070)
1949	4	(prob=0.0002,cumulative=0.6072)
1950	5	(prob=0.0003,cumulative=0.6075)
1951	6	(prob=0.0004,cumulative=0.6079)
1952	6	(prob=0.0004,cumulative=0.6082)
1953	4	(prob=0.0002,cumulative=0.6085)
1954	2	(prob=0.0001,cumulative=0.6086)
1955	2	(prob=0.0001,cumulative=0.6087)
1956	1	(prob=0.0001,cumulative=0.6088)
1957	5	(prob=0.0003,cumulative=0.6090)
1958	6	(prob=0.0004,cumulative=0.6094)
1959	4	(prob=0.0002,cumulative=0.6096)
1960	3	(prob=0.0002,cumulative=0.6098)
1961	6	(prob=0.0004,cumulative=0.6102)
1962	4	(prob=0.0002,cumulative=0.6104)
1963	2	(prob=0.0001,cumulative=0.6105)
1964	2	(prob=0.0001,cumulative=0.6106)
1965	4	(prob=0.0002,cumulative=0.6109)
1966	6	(prob=0.0004,cumulative=0.6112)
1967	4	(prob=0.0002,cumulative=0.6115)
1968	2	(prob=0.0001,cumulative=0.6116)
1969	4	(prob=0.0002,cumulative=0.6118)
1970	5	(prob=0.0003,cumulative=0.6121)
1971	5	(prob=0.0003,cumulative=0.6124)
1972	3	(prob=0.0002,cumulative=0.6126)
1973	5	(prob=0.0003,cumulative=0.6129)
1974	3	(prob=0.0002,cumulative=0.6131)
1975	3	(prob=0.0002,cumulative=0.6132)
1976	3	(prob=0.0002,cumulative=0.6134)
1978	5	(prob=0.0003,cumulative=0.6137)
1979	4	(prob=0.0002,cumulative=0.6139)
1980	8	(prob=0.0005,cumulative=0.6144)
1981	4	(prob=0.0002,cumulative=0.6146)
1982	2	(prob=0.0001,cumulative=0.6148)
1983	4	(prob=0.0002,cumulative=0.6150)
1984	4	(prob=0.0002,cumulative=0.6152)
1985	5	(prob=0.0003,cumulative=0.6155)
1986	3	(prob=0.0002,cumulative=0.6157)
1987	4	(prob=0.0002,cumulative=0.6159)
1988	6	(prob=0.0004,cumulative=0.6163)
1989	2	(prob=0.0001,cumulative=0.6164)
1990	3	(prob=0.0002,cumulative=0.6166)
1991	4	(prob=0.0002,cumulative=0.6168)
1992	6	(prob=0.0004,cumulative=0.6172)
1993	1	(prob=0.0001,cumulative=0.6172)
1994	3	(prob=0.0002,cumulative=0.6174)
1995	2	(prob=0.0001,cumulative=0.6175)
1996	2	(prob=0.0001,cumulative=0.6177)
1997	3	(prob=0.0002,cumulative=0.6178)
1998	5	(prob=0.0003,cumulative=0.6181)
1999	1	(prob=0.0001,cumulative=0.6182)
2000	3	(prob=0.0002,cumulative=0.6184)
2001	2	(prob=0.0001,cumulative=0.6185)
2002	4	(prob=0.0002,cumulative=0.6187)
2003	3	(prob=0.0002,cumulative=0.6189)
2004	3	(prob=0.0002,cumulative=0.6191)
2005	4	(prob=0.0002,cumulative=0.6193)
2006	4	(prob=0.0002,cumulative=0.6195)
2007	4	(prob=0.0002,cumulative=0.6198)
2008	2	(prob=0.0001,cumulative=0.6199)
2009	4	(prob=0.0002,cumulative=0.6201)
2010	5	(prob=0.0003,cumulative=0.6204)
2011	7	(prob=0.0004,cumulative=0.6208)
2012	3	(prob=0.0002,cumulative=0.6210)
2013	4	(prob=0.0002,cumulative=0.6213)
2014	5	(prob=0.0003,cumulative=0.6215)
2015	1	(prob=0.0001,cumulative=0.6216)
2016	4	(prob=0.0002,cumulative=0.6218)
2017	3	(prob=0.0002,cumulative=0.6220)
2018	4	(prob=0.0002,cumulative=0.6223)
2019	10	(prob=0.0006,cumulative=0.6228)
2020	2	(prob=0.0001,cumulative=0.6230)
2021	3	(prob=0.0002,cumulative=0.6231)
2022	6	(prob=0.0004,cumulative=0.6235)
2023	6	(prob=0.0004,cumulative=0.6238)
2024	5	(prob=0.0003,cumulative=0.6241)
2025	2	(prob=0.0001,cumulative=0.6243)
