exon	length	distribution
135	472	(prob=0.0047,cumulative=0.3997)
136	357	(prob=0.0035,cumulative=0.4033)
137	419	(prob=0.0042,cumulative=0.4074)
138	440	(prob=0.0044,cumulative=0.4118)
139	398	(prob=0.0040,cumulative=0.4158)
140	387	(prob=0.0038,cumulative=0.4196)
141	409	(prob=0.0041,cumulative=0.4237)
142	391	(prob=0.0039,cumulative=0.4276)
143	375	(prob=0.0037,cumulative=0.4313)
144	468	(prob=0.0047,cumulative=0.4359)
145	379	(prob=0.0038,cumulative=0.4397)
146	364	(prob=0.0036,cumulative=0.4433)
147	411	(prob=0.0041,cumulative=0.4474)
148	358	(prob=0.0036,cumulative=0.4510)
149	359	(prob=0.0036,cumulative=0.4545)
150	471	(prob=0.0047,cumulative=0.4592)
151	366	(prob=0.0036,cumulative=0.4629)
152	370	(prob=0.0037,cumulative=0.4665)
153	396	(prob=0.0039,cumulative=0.4705)
154	357	(prob=0.0035,cumulative=0.4740)
155	387	(prob=0.0038,cumulative=0.4779)
156	413	(prob=0.0041,cumulative=0.4820)
157	360	(prob=0.0036,cumulative=0.4856)
158	372	(prob=0.0037,cumulative=0.4892)
159	412	(prob=0.0041,cumulative=0.4933)
160	315	(prob=0.0031,cumulative=0.4965)
161	345	(prob=0.0034,cumulative=0.4999)
162	414	(prob=0.0041,cumulative=0.5040)
163	360	(prob=0.0036,cumulative=0.5076)
164	362	(prob=0.0036,cumulative=0.5112)
165	406	(prob=0.0040,cumulative=0.5152)
166	363	(prob=0.0036,cumulative=0.5188)
167	351	(prob=0.0035,cumulative=0.5223)
168	409	(prob=0.0041,cumulative=0.5264)
169	351	(prob=0.0035,cumulative=0.5299)
170	329	(prob=0.0033,cumulative=0.5332)
171	382	(prob=0.0038,cumulative=0.5370)
172	293	(prob=0.0029,cumulative=0.5399)
173	330	(prob=0.0033,cumulative=0.5431)
174	378	(prob=0.0038,cumulative=0.5469)
175	314	(prob=0.0031,cumulative=0.5500)
176	313	(prob=0.0031,cumulative=0.5531)
177	375	(prob=0.0037,cumulative=0.5569)
178	358	(prob=0.0036,cumulative=0.5604)
179	339	(prob=0.0034,cumulative=0.5638)
180	380	(prob=0.0038,cumulative=0.5676)
181	288	(prob=0.0029,cumulative=0.5704)
182	280	(prob=0.0028,cumulative=0.5732)
183	385	(prob=0.0038,cumulative=0.5770)
184	327	(prob=0.0033,cumulative=0.5803)
185	296	(prob=0.0029,cumulative=0.5832)
186	357	(prob=0.0035,cumulative=0.5868)
187	281	(prob=0.0028,cumulative=0.5896)
188	316	(prob=0.0031,cumulative=0.5927)
189	333	(prob=0.0033,cumulative=0.5960)
