exon	length	distribution
580	10	(prob=0.0001,cumulative=0.9479)
581	14	(prob=0.0001,cumulative=0.9480)
582	15	(prob=0.0001,cumulative=0.9482)
583	12	(prob=0.0001,cumulative=0.9483)
584	9	(prob=0.0001,cumulative=0.9484)
585	16	(prob=0.0002,cumulative=0.9486)
586	6	(prob=0.0001,cumulative=0.9486)
587	16	(prob=0.0002,cumulative=0.9488)
588	17	(prob=0.0002,cumulative=0.9489)
589	12	(prob=0.0001,cumulative=0.9491)
590	21	(prob=0.0002,cumulative=0.9493)
591	12	(prob=0.0001,cumulative=0.9494)
592	16	(prob=0.0002,cumulative=0.9496)
593	8	(prob=0.0001,cumulative=0.9496)
594	18	(prob=0.0002,cumulative=0.9498)
595	17	(prob=0.0002,cumulative=0.9500)
596	8	(prob=0.0001,cumulative=0.9501)
597	17	(prob=0.0002,cumulative=0.9502)
598	14	(prob=0.0001,cumulative=0.9504)
599	15	(prob=0.0001,cumulative=0.9505)
600	28	(prob=0.0003,cumulative=0.9508)
601	13	(prob=0.0001,cumulative=0.9509)
602	12	(prob=0.0001,cumulative=0.9510)
603	16	(prob=0.0002,cumulative=0.9512)
604	10	(prob=0.0001,cumulative=0.9513)
605	11	(prob=0.0001,cumulative=0.9514)
606	22	(prob=0.0002,cumulative=0.9516)
607	14	(prob=0.0001,cumulative=0.9518)
608	10	(prob=0.0001,cumulative=0.9519)
609	19	(prob=0.0002,cumulative=0.9521)
610	16	(prob=0.0002,cumulative=0.9522)
611	9	(prob=0.0001,cumulative=0.9523)
612	16	(prob=0.0002,cumulative=0.9525)
613	8	(prob=0.0001,cumulative=0.9525)
614	17	(prob=0.0002,cumulative=0.9527)
615	23	(prob=0.0002,cumulative=0.9529)
616	9	(prob=0.0001,cumulative=0.9530)
617	13	(prob=0.0001,cumulative=0.9532)
618	12	(prob=0.0001,cumulative=0.9533)
619	4	(prob=0.0000,cumulative=0.9533)
620	7	(prob=0.0001,cumulative=0.9534)
621	17	(prob=0.0002,cumulative=0.9536)
622	8	(prob=0.0001,cumulative=0.9536)
623	21	(prob=0.0002,cumulative=0.9538)
624	12	(prob=0.0001,cumulative=0.9540)
625	12	(prob=0.0001,cumulative=0.9541)
626	14	(prob=0.0001,cumulative=0.9542)
627	12	(prob=0.0001,cumulative=0.9543)
628	9	(prob=0.0001,cumulative=0.9544)
629	9	(prob=0.0001,cumulative=0.9545)
630	12	(prob=0.0001,cumulative=0.9546)
631	8	(prob=0.0001,cumulative=0.9547)
632	11	(prob=0.0001,cumulative=0.9548)
633	19	(prob=0.0002,cumulative=0.9550)
634	8	(prob=0.0001,cumulative=0.9551)
635	10	(prob=0.0001,cumulative=0.9552)
636	8	(prob=0.0001,cumulative=0.9553)
637	14	(prob=0.0001,cumulative=0.9554)
638	7	(prob=0.0001,cumulative=0.9555)
639	7	(prob=0.0001,cumulative=0.9556)
640	8	(prob=0.0001,cumulative=0.9556)
641	14	(prob=0.0001,cumulative=0.9558)
642	16	(prob=0.0002,cumulative=0.9559)
643	15	(prob=0.0001,cumulative=0.9561)
644	9	(prob=0.0001,cumulative=0.9562)
645	18	(prob=0.0002,cumulative=0.9564)
646	10	(prob=0.0001,cumulative=0.9564)
647	6	(prob=0.0001,cumulative=0.9565)
648	17	(prob=0.0002,cumulative=0.9567)
649	19	(prob=0.0002,cumulative=0.9569)
650	11	(prob=0.0001,cumulative=0.9570)
651	6	(prob=0.0001,cumulative=0.9570)
652	9	(prob=0.0001,cumulative=0.9571)
653	10	(prob=0.0001,cumulative=0.9572)
654	8	(prob=0.0001,cumulative=0.9573)
655	8	(prob=0.0001,cumulative=0.9574)
656	7	(prob=0.0001,cumulative=0.9575)
657	7	(prob=0.0001,cumulative=0.9575)
658	11	(prob=0.0001,cumulative=0.9576)
659	7	(prob=0.0001,cumulative=0.9577)
660	10	(prob=0.0001,cumulative=0.9578)
661	10	(prob=0.0001,cumulative=0.9579)
662	12	(prob=0.0001,cumulative=0.9580)
663	13	(prob=0.0001,cumulative=0.9581)
664	13	(prob=0.0001,cumulative=0.9583)
665	13	(prob=0.0001,cumulative=0.9584)
666	20	(prob=0.0002,cumulative=0.9586)
667	11	(prob=0.0001,cumulative=0.9587)
668	4	(prob=0.0000,cumulative=0.9588)
669	14	(prob=0.0001,cumulative=0.9589)
670	12	(prob=0.0001,cumulative=0.9590)
671	12	(prob=0.0001,cumulative=0.9591)
672	12	(prob=0.0001,cumulative=0.9593)
673	9	(prob=0.0001,cumulative=0.9593)
674	14	(prob=0.0001,cumulative=0.9595)
675	13	(prob=0.0001,cumulative=0.9596)
676	9	(prob=0.0001,cumulative=0.9597)
677	7	(prob=0.0001,cumulative=0.9598)
678	7	(prob=0.0001,cumulative=0.9598)
679	15	(prob=0.0001,cumulative=0.9600)
680	8	(prob=0.0001,cumulative=0.9601)
681	10	(prob=0.0001,cumulative=0.9602)
682	6	(prob=0.0001,cumulative=0.9602)
683	11	(prob=0.0001,cumulative=0.9603)
684	10	(prob=0.0001,cumulative=0.9604)
685	7	(prob=0.0001,cumulative=0.9605)
686	8	(prob=0.0001,cumulative=0.9606)
687	6	(prob=0.0001,cumulative=0.9606)
688	10	(prob=0.0001,cumulative=0.9607)
689	15	(prob=0.0001,cumulative=0.9609)
690	14	(prob=0.0001,cumulative=0.9610)
691	8	(prob=0.0001,cumulative=0.9611)
692	5	(prob=0.0000,cumulative=0.9612)
693	13	(prob=0.0001,cumulative=0.9613)
694	13	(prob=0.0001,cumulative=0.9614)
695	10	(prob=0.0001,cumulative=0.9615)
696	4	(prob=0.0000,cumulative=0.9616)
697	12	(prob=0.0001,cumulative=0.9617)
698	4	(prob=0.0000,cumulative=0.9617)
699	8	(prob=0.0001,cumulative=0.9618)
700	7	(prob=0.0001,cumulative=0.9619)
701	10	(prob=0.0001,cumulative=0.9620)
702	10	(prob=0.0001,cumulative=0.9621)
703	6	(prob=0.0001,cumulative=0.9621)
704	6	(prob=0.0001,cumulative=0.9622)
705	9	(prob=0.0001,cumulative=0.9623)
706	9	(prob=0.0001,cumulative=0.9624)
707	10	(prob=0.0001,cumulative=0.9625)
708	6	(prob=0.0001,cumulative=0.9625)
709	7	(prob=0.0001,cumulative=0.9626)
710	5	(prob=0.0000,cumulative=0.9626)
711	12	(prob=0.0001,cumulative=0.9628)
712	7	(prob=0.0001,cumulative=0.9628)
713	4	(prob=0.0000,cumulative=0.9629)
714	10	(prob=0.0001,cumulative=0.9630)
715	10	(prob=0.0001,cumulative=0.9631)
716	5	(prob=0.0000,cumulative=0.9631)
717	9	(prob=0.0001,cumulative=0.9632)
718	11	(prob=0.0001,cumulative=0.9633)
719	7	(prob=0.0001,cumulative=0.9634)
720	10	(prob=0.0001,cumulative=0.9635)
721	13	(prob=0.0001,cumulative=0.9636)
722	9	(prob=0.0001,cumulative=0.9637)
723	7	(prob=0.0001,cumulative=0.9638)
724	10	(prob=0.0001,cumulative=0.9639)
725	6	(prob=0.0001,cumulative=0.9639)
726	8	(prob=0.0001,cumulative=0.9640)
727	12	(prob=0.0001,cumulative=0.9641)
728	10	(prob=0.0001,cumulative=0.9642)
729	10	(prob=0.0001,cumulative=0.9643)
730	4	(prob=0.0000,cumulative=0.9644)
731	5	(prob=0.0000,cumulative=0.9644)
732	10	(prob=0.0001,cumulative=0.9645)
733	5	(prob=0.0000,cumulative=0.9646)
734	7	(prob=0.0001,cumulative=0.9646)
735	15	(prob=0.0001,cumulative=0.9648)
736	5	(prob=0.0000,cumulative=0.9648)
737	7	(prob=0.0001,cumulative=0.9649)
738	7	(prob=0.0001,cumulative=0.9650)
739	10	(prob=0.0001,cumulative=0.9651)
740	4	(prob=0.0000,cumulative=0.9651)
741	4	(prob=0.0000,cumulative=0.9652)
742	5	(prob=0.0000,cumulative=0.9652)
743	5	(prob=0.0000,cumulative=0.9653)
744	13	(prob=0.0001,cumulative=0.9654)
745	3	(prob=0.0000,cumulative=0.9654)
746	13	(prob=0.0001,cumulative=0.9655)
747	12	(prob=0.0001,cumulative=0.9657)
749	5	(prob=0.0000,cumulative=0.9657)
750	4	(prob=0.0000,cumulative=0.9658)
751	4	(prob=0.0000,cumulative=0.9658)
752	4	(prob=0.0000,cumulative=0.9658)
753	3	(prob=0.0000,cumulative=0.9659)
754	2	(prob=0.0000,cumulative=0.9659)
755	4	(prob=0.0000,cumulative=0.9659)
756	7	(prob=0.0001,cumulative=0.9660)
757	6	(prob=0.0001,cumulative=0.9661)
758	7	(prob=0.0001,cumulative=0.9661)
759	12	(prob=0.0001,cumulative=0.9662)
760	5	(prob=0.0000,cumulative=0.9663)
761	7	(prob=0.0001,cumulative=0.9664)
762	11	(prob=0.0001,cumulative=0.9665)
763	4	(prob=0.0000,cumulative=0.9665)
764	7	(prob=0.0001,cumulative=0.9666)
765	7	(prob=0.0001,cumulative=0.9666)
766	6	(prob=0.0001,cumulative=0.9667)
767	5	(prob=0.0000,cumulative=0.9668)
768	9	(prob=0.0001,cumulative=0.9668)
769	4	(prob=0.0000,cumulative=0.9669)
770	1	(prob=0.0000,cumulative=0.9669)
771	4	(prob=0.0000,cumulative=0.9669)
772	3	(prob=0.0000,cumulative=0.9670)
773	3	(prob=0.0000,cumulative=0.9670)
774	9	(prob=0.0001,cumulative=0.9671)
775	4	(prob=0.0000,cumulative=0.9671)
776	8	(prob=0.0001,cumulative=0.9672)
777	2	(prob=0.0000,cumulative=0.9672)
778	5	(prob=0.0000,cumulative=0.9673)
779	6	(prob=0.0001,cumulative=0.9673)
780	15	(prob=0.0001,cumulative=0.9675)
781	8	(prob=0.0001,cumulative=0.9676)
782	7	(prob=0.0001,cumulative=0.9676)
783	11	(prob=0.0001,cumulative=0.9677)
784	2	(prob=0.0000,cumulative=0.9678)
785	6	(prob=0.0001,cumulative=0.9678)
786	1	(prob=0.0000,cumulative=0.9678)
787	7	(prob=0.0001,cumulative=0.9679)
788	10	(prob=0.0001,cumulative=0.9680)
789	6	(prob=0.0001,cumulative=0.9681)
790	7	(prob=0.0001,cumulative=0.9681)
791	4	(prob=0.0000,cumulative=0.9682)
792	8	(prob=0.0001,cumulative=0.9682)
793	7	(prob=0.0001,cumulative=0.9683)
794	6	(prob=0.0001,cumulative=0.9684)
795	12	(prob=0.0001,cumulative=0.9685)
796	2	(prob=0.0000,cumulative=0.9685)
797	7	(prob=0.0001,cumulative=0.9686)
798	8	(prob=0.0001,cumulative=0.9687)
799	8	(prob=0.0001,cumulative=0.9687)
800	4	(prob=0.0000,cumulative=0.9688)
801	6	(prob=0.0001,cumulative=0.9688)
802	5	(prob=0.0000,cumulative=0.9689)
803	2	(prob=0.0000,cumulative=0.9689)
804	10	(prob=0.0001,cumulative=0.9690)
805	7	(prob=0.0001,cumulative=0.9691)
806	2	(prob=0.0000,cumulative=0.9691)
807	6	(prob=0.0001,cumulative=0.9692)
808	8	(prob=0.0001,cumulative=0.9692)
809	6	(prob=0.0001,cumulative=0.9693)
810	3	(prob=0.0000,cumulative=0.9693)
811	10	(prob=0.0001,cumulative=0.9694)
812	7	(prob=0.0001,cumulative=0.9695)
813	5	(prob=0.0000,cumulative=0.9696)
814	1	(prob=0.0000,cumulative=0.9696)
815	2	(prob=0.0000,cumulative=0.9696)
816	5	(prob=0.0000,cumulative=0.9696)
817	7	(prob=0.0001,cumulative=0.9697)
818	2	(prob=0.0000,cumulative=0.9697)
819	5	(prob=0.0000,cumulative=0.9698)
820	5	(prob=0.0000,cumulative=0.9698)
821	8	(prob=0.0001,cumulative=0.9699)
822	9	(prob=0.0001,cumulative=0.9700)
823	5	(prob=0.0000,cumulative=0.9700)
824	9	(prob=0.0001,cumulative=0.9701)
825	11	(prob=0.0001,cumulative=0.9702)
826	7	(prob=0.0001,cumulative=0.9703)
827	8	(prob=0.0001,cumulative=0.9704)
828	11	(prob=0.0001,cumulative=0.9705)
829	5	(prob=0.0000,cumulative=0.9705)
830	2	(prob=0.0000,cumulative=0.9706)
831	7	(prob=0.0001,cumulative=0.9706)
832	5	(prob=0.0000,cumulative=0.9707)
833	3	(prob=0.0000,cumulative=0.9707)
834	10	(prob=0.0001,cumulative=0.9708)
835	2	(prob=0.0000,cumulative=0.9708)
836	8	(prob=0.0001,cumulative=0.9709)
837	6	(prob=0.0001,cumulative=0.9710)
838	6	(prob=0.0001,cumulative=0.9710)
839	5	(prob=0.0000,cumulative=0.9711)
840	6	(prob=0.0001,cumulative=0.9711)
841	7	(prob=0.0001,cumulative=0.9712)
842	10	(prob=0.0001,cumulative=0.9713)
843	4	(prob=0.0000,cumulative=0.9714)
844	6	(prob=0.0001,cumulative=0.9714)
845	2	(prob=0.0000,cumulative=0.9714)
846	9	(prob=0.0001,cumulative=0.9715)
847	14	(prob=0.0001,cumulative=0.9717)
848	7	(prob=0.0001,cumulative=0.9717)
849	10	(prob=0.0001,cumulative=0.9718)
850	7	(prob=0.0001,cumulative=0.9719)
851	6	(prob=0.0001,cumulative=0.9720)
852	4	(prob=0.0000,cumulative=0.9720)
853	3	(prob=0.0000,cumulative=0.9720)
854	5	(prob=0.0000,cumulative=0.9721)
855	6	(prob=0.0001,cumulative=0.9721)
856	4	(prob=0.0000,cumulative=0.9722)
857	3	(prob=0.0000,cumulative=0.9722)
858	8	(prob=0.0001,cumulative=0.9723)
859	6	(prob=0.0001,cumulative=0.9723)
860	5	(prob=0.0000,cumulative=0.9724)
861	10	(prob=0.0001,cumulative=0.9725)
862	3	(prob=0.0000,cumulative=0.9725)
863	9	(prob=0.0001,cumulative=0.9726)
864	7	(prob=0.0001,cumulative=0.9727)
865	1	(prob=0.0000,cumulative=0.9727)
866	11	(prob=0.0001,cumulative=0.9728)
867	8	(prob=0.0001,cumulative=0.9729)
868	3	(prob=0.0000,cumulative=0.9729)
869	5	(prob=0.0000,cumulative=0.9730)
870	9	(prob=0.0001,cumulative=0.9731)
871	3	(prob=0.0000,cumulative=0.9731)
872	4	(prob=0.0000,cumulative=0.9731)
873	4	(prob=0.0000,cumulative=0.9732)
874	6	(prob=0.0001,cumulative=0.9732)
875	6	(prob=0.0001,cumulative=0.9733)
876	7	(prob=0.0001,cumulative=0.9733)
877	2	(prob=0.0000,cumulative=0.9734)
878	5	(prob=0.0000,cumulative=0.9734)
879	6	(prob=0.0001,cumulative=0.9735)
880	1	(prob=0.0000,cumulative=0.9735)
881	5	(prob=0.0000,cumulative=0.9735)
882	4	(prob=0.0000,cumulative=0.9736)
883	1	(prob=0.0000,cumulative=0.9736)
884	5	(prob=0.0000,cumulative=0.9736)
885	10	(prob=0.0001,cumulative=0.9737)
886	3	(prob=0.0000,cumulative=0.9738)
887	5	(prob=0.0000,cumulative=0.9738)
888	3	(prob=0.0000,cumulative=0.9738)
889	1	(prob=0.0000,cumulative=0.9739)
890	6	(prob=0.0001,cumulative=0.9739)
891	3	(prob=0.0000,cumulative=0.9739)
892	3	(prob=0.0000,cumulative=0.9740)
893	5	(prob=0.0000,cumulative=0.9740)
894	4	(prob=0.0000,cumulative=0.9741)
895	3	(prob=0.0000,cumulative=0.9741)
896	4	(prob=0.0000,cumulative=0.9741)
897	3	(prob=0.0000,cumulative=0.9742)
898	3	(prob=0.0000,cumulative=0.9742)
899	2	(prob=0.0000,cumulative=0.9742)
900	7	(prob=0.0001,cumulative=0.9743)
901	1	(prob=0.0000,cumulative=0.9743)
902	2	(prob=0.0000,cumulative=0.9743)
903	8	(prob=0.0001,cumulative=0.9744)
904	4	(prob=0.0000,cumulative=0.9744)
905	2	(prob=0.0000,cumulative=0.9745)
906	8	(prob=0.0001,cumulative=0.9745)
907	1	(prob=0.0000,cumulative=0.9745)
908	4	(prob=0.0000,cumulative=0.9746)
909	5	(prob=0.0000,cumulative=0.9746)
910	5	(prob=0.0000,cumulative=0.9747)
911	6	(prob=0.0001,cumulative=0.9747)
912	6	(prob=0.0001,cumulative=0.9748)
913	3	(prob=0.0000,cumulative=0.9748)
914	3	(prob=0.0000,cumulative=0.9749)
915	4	(prob=0.0000,cumulative=0.9749)
916	9	(prob=0.0001,cumulative=0.9750)
918	6	(prob=0.0001,cumulative=0.9750)
919	4	(prob=0.0000,cumulative=0.9751)
920	5	(prob=0.0000,cumulative=0.9751)
921	5	(prob=0.0000,cumulative=0.9752)
922	2	(prob=0.0000,cumulative=0.9752)
923	5	(prob=0.0000,cumulative=0.9753)
924	2	(prob=0.0000,cumulative=0.9753)
925	3	(prob=0.0000,cumulative=0.9753)
926	2	(prob=0.0000,cumulative=0.9753)
927	4	(prob=0.0000,cumulative=0.9754)
928	1	(prob=0.0000,cumulative=0.9754)
929	1	(prob=0.0000,cumulative=0.9754)
930	9	(prob=0.0001,cumulative=0.9755)
931	6	(prob=0.0001,cumulative=0.9755)
932	1	(prob=0.0000,cumulative=0.9755)
933	11	(prob=0.0001,cumulative=0.9757)
934	2	(prob=0.0000,cumulative=0.9757)
935	4	(prob=0.0000,cumulative=0.9757)
936	4	(prob=0.0000,cumulative=0.9758)
937	5	(prob=0.0000,cumulative=0.9758)
938	2	(prob=0.0000,cumulative=0.9758)
939	4	(prob=0.0000,cumulative=0.9759)
940	6	(prob=0.0001,cumulative=0.9759)
941	1	(prob=0.0000,cumulative=0.9759)
942	7	(prob=0.0001,cumulative=0.9760)
943	5	(prob=0.0000,cumulative=0.9761)
944	4	(prob=0.0000,cumulative=0.9761)
945	2	(prob=0.0000,cumulative=0.9761)
946	2	(prob=0.0000,cumulative=0.9761)
947	3	(prob=0.0000,cumulative=0.9762)
948	7	(prob=0.0001,cumulative=0.9762)
949	2	(prob=0.0000,cumulative=0.9763)
950	2	(prob=0.0000,cumulative=0.9763)
951	8	(prob=0.0001,cumulative=0.9764)
952	2	(prob=0.0000,cumulative=0.9764)
953	2	(prob=0.0000,cumulative=0.9764)
954	3	(prob=0.0000,cumulative=0.9764)
955	2	(prob=0.0000,cumulative=0.9764)
956	5	(prob=0.0000,cumulative=0.9765)
957	2	(prob=0.0000,cumulative=0.9765)
958	7	(prob=0.0001,cumulative=0.9766)
959	3	(prob=0.0000,cumulative=0.9766)
960	5	(prob=0.0000,cumulative=0.9767)
961	2	(prob=0.0000,cumulative=0.9767)
962	4	(prob=0.0000,cumulative=0.9767)
963	8	(prob=0.0001,cumulative=0.9768)
964	4	(prob=0.0000,cumulative=0.9768)
965	3	(prob=0.0000,cumulative=0.9769)
966	12	(prob=0.0001,cumulative=0.9770)
967	2	(prob=0.0000,cumulative=0.9770)
968	5	(prob=0.0000,cumulative=0.9771)
969	5	(prob=0.0000,cumulative=0.9771)
970	4	(prob=0.0000,cumulative=0.9771)
971	2	(prob=0.0000,cumulative=0.9772)
972	5	(prob=0.0000,cumulative=0.9772)
973	6	(prob=0.0001,cumulative=0.9773)
974	10	(prob=0.0001,cumulative=0.9774)
975	3	(prob=0.0000,cumulative=0.9774)
976	2	(prob=0.0000,cumulative=0.9774)
977	2	(prob=0.0000,cumulative=0.9774)
978	7	(prob=0.0001,cumulative=0.9775)
979	2	(prob=0.0000,cumulative=0.9775)
980	3	(prob=0.0000,cumulative=0.9776)
981	5	(prob=0.0000,cumulative=0.9776)
982	3	(prob=0.0000,cumulative=0.9776)
983	3	(prob=0.0000,cumulative=0.9777)
984	3	(prob=0.0000,cumulative=0.9777)
985	5	(prob=0.0000,cumulative=0.9778)
986	4	(prob=0.0000,cumulative=0.9778)
987	5	(prob=0.0000,cumulative=0.9778)
988	5	(prob=0.0000,cumulative=0.9779)
989	5	(prob=0.0000,cumulative=0.9779)
990	5	(prob=0.0000,cumulative=0.9780)
991	5	(prob=0.0000,cumulative=0.9780)
992	5	(prob=0.0000,cumulative=0.9781)
993	1	(prob=0.0000,cumulative=0.9781)
994	1	(prob=0.0000,cumulative=0.9781)
995	2	(prob=0.0000,cumulative=0.9781)
996	3	(prob=0.0000,cumulative=0.9782)
997	2	(prob=0.0000,cumulative=0.9782)
998	4	(prob=0.0000,cumulative=0.9782)
999	2	(prob=0.0000,cumulative=0.9782)
1000	8	(prob=0.0001,cumulative=0.9783)
1001	6	(prob=0.0001,cumulative=0.9784)
1002	2	(prob=0.0000,cumulative=0.9784)
1003	5	(prob=0.0000,cumulative=0.9784)
1004	3	(prob=0.0000,cumulative=0.9785)
1005	1	(prob=0.0000,cumulative=0.9785)
1006	4	(prob=0.0000,cumulative=0.9785)
1008	3	(prob=0.0000,cumulative=0.9786)
1009	4	(prob=0.0000,cumulative=0.9786)
1010	2	(prob=0.0000,cumulative=0.9786)
1011	5	(prob=0.0000,cumulative=0.9787)
1012	3	(prob=0.0000,cumulative=0.9787)
1013	6	(prob=0.0001,cumulative=0.9788)
1014	4	(prob=0.0000,cumulative=0.9788)
1015	4	(prob=0.0000,cumulative=0.9788)
1016	2	(prob=0.0000,cumulative=0.9789)
1017	7	(prob=0.0001,cumulative=0.9789)
1018	4	(prob=0.0000,cumulative=0.9790)
1019	1	(prob=0.0000,cumulative=0.9790)
1020	4	(prob=0.0000,cumulative=0.9790)
1021	2	(prob=0.0000,cumulative=0.9790)
1022	4	(prob=0.0000,cumulative=0.9791)
1023	9	(prob=0.0001,cumulative=0.9792)
1024	4	(prob=0.0000,cumulative=0.9792)
1025	5	(prob=0.0000,cumulative=0.9793)
1026	2	(prob=0.0000,cumulative=0.9793)
1027	4	(prob=0.0000,cumulative=0.9793)
1028	5	(prob=0.0000,cumulative=0.9794)
1029	7	(prob=0.0001,cumulative=0.9794)
1030	4	(prob=0.0000,cumulative=0.9795)
1031	2	(prob=0.0000,cumulative=0.9795)
1032	8	(prob=0.0001,cumulative=0.9796)
1033	2	(prob=0.0000,cumulative=0.9796)
1034	2	(prob=0.0000,cumulative=0.9796)
1035	2	(prob=0.0000,cumulative=0.9796)
1036	7	(prob=0.0001,cumulative=0.9797)
1037	2	(prob=0.0000,cumulative=0.9797)
1038	6	(prob=0.0001,cumulative=0.9798)
1039	2	(prob=0.0000,cumulative=0.9798)
1040	5	(prob=0.0000,cumulative=0.9799)
1041	5	(prob=0.0000,cumulative=0.9799)
1042	2	(prob=0.0000,cumulative=0.9799)
1043	3	(prob=0.0000,cumulative=0.9799)
1044	1	(prob=0.0000,cumulative=0.9800)
1045	5	(prob=0.0000,cumulative=0.9800)
1046	3	(prob=0.0000,cumulative=0.9800)
1047	6	(prob=0.0001,cumulative=0.9801)
1048	3	(prob=0.0000,cumulative=0.9801)
1049	3	(prob=0.0000,cumulative=0.9802)
1050	4	(prob=0.0000,cumulative=0.9802)
1051	4	(prob=0.0000,cumulative=0.9802)
1052	5	(prob=0.0000,cumulative=0.9803)
1053	5	(prob=0.0000,cumulative=0.9803)
1054	3	(prob=0.0000,cumulative=0.9804)
1055	3	(prob=0.0000,cumulative=0.9804)
1056	4	(prob=0.0000,cumulative=0.9804)
1057	3	(prob=0.0000,cumulative=0.9805)
1058	2	(prob=0.0000,cumulative=0.9805)
1059	4	(prob=0.0000,cumulative=0.9805)
1060	4	(prob=0.0000,cumulative=0.9806)
1062	3	(prob=0.0000,cumulative=0.9806)
1063	1	(prob=0.0000,cumulative=0.9806)
1064	4	(prob=0.0000,cumulative=0.9806)
1066	3	(prob=0.0000,cumulative=0.9807)
1067	2	(prob=0.0000,cumulative=0.9807)
1068	3	(prob=0.0000,cumulative=0.9807)
1069	3	(prob=0.0000,cumulative=0.9808)
1070	4	(prob=0.0000,cumulative=0.9808)
1071	5	(prob=0.0000,cumulative=0.9808)
1072	3	(prob=0.0000,cumulative=0.9809)
1073	3	(prob=0.0000,cumulative=0.9809)
1074	3	(prob=0.0000,cumulative=0.9809)
1075	1	(prob=0.0000,cumulative=0.9809)
1076	4	(prob=0.0000,cumulative=0.9810)
1077	2	(prob=0.0000,cumulative=0.9810)
1078	1	(prob=0.0000,cumulative=0.9810)
1079	5	(prob=0.0000,cumulative=0.9811)
1080	6	(prob=0.0001,cumulative=0.9811)
1081	3	(prob=0.0000,cumulative=0.9812)
1082	3	(prob=0.0000,cumulative=0.9812)
1083	1	(prob=0.0000,cumulative=0.9812)
1084	2	(prob=0.0000,cumulative=0.9812)
1085	2	(prob=0.0000,cumulative=0.9812)
1086	6	(prob=0.0001,cumulative=0.9813)
1087	2	(prob=0.0000,cumulative=0.9813)
1088	8	(prob=0.0001,cumulative=0.9814)
1089	7	(prob=0.0001,cumulative=0.9815)
1090	3	(prob=0.0000,cumulative=0.9815)
1091	3	(prob=0.0000,cumulative=0.9815)
1092	1	(prob=0.0000,cumulative=0.9815)
1093	1	(prob=0.0000,cumulative=0.9815)
1094	3	(prob=0.0000,cumulative=0.9816)
1095	6	(prob=0.0001,cumulative=0.9816)
1096	2	(prob=0.0000,cumulative=0.9816)
1097	1	(prob=0.0000,cumulative=0.9817)
1098	7	(prob=0.0001,cumulative=0.9817)
1099	2	(prob=0.0000,cumulative=0.9817)
1100	3	(prob=0.0000,cumulative=0.9818)
1101	1	(prob=0.0000,cumulative=0.9818)
1102	1	(prob=0.0000,cumulative=0.9818)
1103	3	(prob=0.0000,cumulative=0.9818)
1104	2	(prob=0.0000,cumulative=0.9818)
1105	3	(prob=0.0000,cumulative=0.9819)
1106	1	(prob=0.0000,cumulative=0.9819)
1107	1	(prob=0.0000,cumulative=0.9819)
1108	3	(prob=0.0000,cumulative=0.9819)
1109	3	(prob=0.0000,cumulative=0.9820)
1110	6	(prob=0.0001,cumulative=0.9820)
1111	5	(prob=0.0000,cumulative=0.9821)
1113	4	(prob=0.0000,cumulative=0.9821)
1114	3	(prob=0.0000,cumulative=0.9821)
1116	1	(prob=0.0000,cumulative=0.9821)
1117	5	(prob=0.0000,cumulative=0.9822)
1119	3	(prob=0.0000,cumulative=0.9822)
1120	3	(prob=0.0000,cumulative=0.9823)
1121	2	(prob=0.0000,cumulative=0.9823)
1122	2	(prob=0.0000,cumulative=0.9823)
1124	2	(prob=0.0000,cumulative=0.9823)
1125	5	(prob=0.0000,cumulative=0.9824)
1126	3	(prob=0.0000,cumulative=0.9824)
1127	4	(prob=0.0000,cumulative=0.9824)
1128	3	(prob=0.0000,cumulative=0.9825)
1129	3	(prob=0.0000,cumulative=0.9825)
1130	3	(prob=0.0000,cumulative=0.9825)
1131	6	(prob=0.0001,cumulative=0.9826)
1132	1	(prob=0.0000,cumulative=0.9826)
1133	1	(prob=0.0000,cumulative=0.9826)
1134	4	(prob=0.0000,cumulative=0.9826)
1135	1	(prob=0.0000,cumulative=0.9827)
1136	2	(prob=0.0000,cumulative=0.9827)
1137	1	(prob=0.0000,cumulative=0.9827)
1138	6	(prob=0.0001,cumulative=0.9827)
1139	4	(prob=0.0000,cumulative=0.9828)
1140	1	(prob=0.0000,cumulative=0.9828)
1142	7	(prob=0.0001,cumulative=0.9829)
1143	3	(prob=0.0000,cumulative=0.9829)
1144	1	(prob=0.0000,cumulative=0.9829)
1146	1	(prob=0.0000,cumulative=0.9829)
1148	1	(prob=0.0000,cumulative=0.9829)
1149	7	(prob=0.0001,cumulative=0.9830)
1150	3	(prob=0.0000,cumulative=0.9830)
1151	5	(prob=0.0000,cumulative=0.9831)
1152	1	(prob=0.0000,cumulative=0.9831)
1154	3	(prob=0.0000,cumulative=0.9831)
1155	4	(prob=0.0000,cumulative=0.9832)
1157	1	(prob=0.0000,cumulative=0.9832)
1159	1	(prob=0.0000,cumulative=0.9832)
1160	1	(prob=0.0000,cumulative=0.9832)
1161	5	(prob=0.0000,cumulative=0.9832)
1162	1	(prob=0.0000,cumulative=0.9832)
1163	3	(prob=0.0000,cumulative=0.9833)
1164	4	(prob=0.0000,cumulative=0.9833)
1165	2	(prob=0.0000,cumulative=0.9833)
1166	3	(prob=0.0000,cumulative=0.9834)
1168	1	(prob=0.0000,cumulative=0.9834)
1169	3	(prob=0.0000,cumulative=0.9834)
1170	6	(prob=0.0001,cumulative=0.9835)
1171	8	(prob=0.0001,cumulative=0.9835)
