intron	length	distribution
153	84	(prob=0.0010,cumulative=0.7788)
154	90	(prob=0.0011,cumulative=0.7799)
155	77	(prob=0.0009,cumulative=0.7808)
156	75	(prob=0.0009,cumulative=0.7817)
157	67	(prob=0.0008,cumulative=0.7825)
158	91	(prob=0.0011,cumulative=0.7836)
159	93	(prob=0.0011,cumulative=0.7847)
160	76	(prob=0.0009,cumulative=0.7856)
161	69	(prob=0.0008,cumulative=0.7865)
162	70	(prob=0.0008,cumulative=0.7873)
163	75	(prob=0.0009,cumulative=0.7882)
164	68	(prob=0.0008,cumulative=0.7890)
165	84	(prob=0.0010,cumulative=0.7900)
166	79	(prob=0.0009,cumulative=0.7910)
167	81	(prob=0.0010,cumulative=0.7919)
168	71	(prob=0.0008,cumulative=0.7928)
169	82	(prob=0.0010,cumulative=0.7937)
170	72	(prob=0.0009,cumulative=0.7946)
171	64	(prob=0.0008,cumulative=0.7954)
172	58	(prob=0.0007,cumulative=0.7961)
173	71	(prob=0.0008,cumulative=0.7969)
174	84	(prob=0.0010,cumulative=0.7979)
175	75	(prob=0.0009,cumulative=0.7988)
176	71	(prob=0.0008,cumulative=0.7997)
177	66	(prob=0.0008,cumulative=0.8005)
178	80	(prob=0.0010,cumulative=0.8014)
179	77	(prob=0.0009,cumulative=0.8023)
180	73	(prob=0.0009,cumulative=0.8032)
181	91	(prob=0.0011,cumulative=0.8043)
182	75	(prob=0.0009,cumulative=0.8052)
183	69	(prob=0.0008,cumulative=0.8060)
184	81	(prob=0.0010,cumulative=0.8070)
185	62	(prob=0.0007,cumulative=0.8077)
186	63	(prob=0.0008,cumulative=0.8085)
187	72	(prob=0.0009,cumulative=0.8093)
188	70	(prob=0.0008,cumulative=0.8102)
189	56	(prob=0.0007,cumulative=0.8108)
190	83	(prob=0.0010,cumulative=0.8118)
191	54	(prob=0.0006,cumulative=0.8125)
192	60	(prob=0.0007,cumulative=0.8132)
193	52	(prob=0.0006,cumulative=0.8138)
194	50	(prob=0.0006,cumulative=0.8144)
195	62	(prob=0.0007,cumulative=0.8152)
196	70	(prob=0.0008,cumulative=0.8160)
197	62	(prob=0.0007,cumulative=0.8167)
198	47	(prob=0.0006,cumulative=0.8173)
199	50	(prob=0.0006,cumulative=0.8179)
200	60	(prob=0.0007,cumulative=0.8186)
201	66	(prob=0.0008,cumulative=0.8194)
202	65	(prob=0.0008,cumulative=0.8202)
203	72	(prob=0.0009,cumulative=0.8210)
204	48	(prob=0.0006,cumulative=0.8216)
205	56	(prob=0.0007,cumulative=0.8223)
206	53	(prob=0.0006,cumulative=0.8229)
207	62	(prob=0.0007,cumulative=0.8237)
208	51	(prob=0.0006,cumulative=0.8243)
209	60	(prob=0.0007,cumulative=0.8250)
210	54	(prob=0.0006,cumulative=0.8256)
211	57	(prob=0.0007,cumulative=0.8263)
212	54	(prob=0.0006,cumulative=0.8270)
213	60	(prob=0.0007,cumulative=0.8277)
214	53	(prob=0.0006,cumulative=0.8283)
215	60	(prob=0.0007,cumulative=0.8290)
216	61	(prob=0.0007,cumulative=0.8298)
217	62	(prob=0.0007,cumulative=0.8305)
