intron	length	distribution
601	6	(prob=0.0001,cumulative=0.9380)
602	6	(prob=0.0001,cumulative=0.9381)
603	10	(prob=0.0001,cumulative=0.9382)
604	10	(prob=0.0001,cumulative=0.9383)
605	5	(prob=0.0001,cumulative=0.9384)
606	10	(prob=0.0001,cumulative=0.9385)
607	10	(prob=0.0001,cumulative=0.9386)
608	13	(prob=0.0002,cumulative=0.9388)
609	9	(prob=0.0001,cumulative=0.9389)
610	4	(prob=0.0000,cumulative=0.9389)
611	12	(prob=0.0001,cumulative=0.9391)
612	14	(prob=0.0002,cumulative=0.9392)
613	6	(prob=0.0001,cumulative=0.9393)
614	6	(prob=0.0001,cumulative=0.9394)
615	8	(prob=0.0001,cumulative=0.9395)
616	7	(prob=0.0001,cumulative=0.9396)
617	12	(prob=0.0001,cumulative=0.9397)
618	9	(prob=0.0001,cumulative=0.9398)
619	10	(prob=0.0001,cumulative=0.9399)
620	15	(prob=0.0002,cumulative=0.9401)
621	13	(prob=0.0002,cumulative=0.9403)
622	11	(prob=0.0001,cumulative=0.9404)
623	14	(prob=0.0002,cumulative=0.9406)
624	5	(prob=0.0001,cumulative=0.9406)
625	8	(prob=0.0001,cumulative=0.9407)
626	11	(prob=0.0001,cumulative=0.9409)
627	5	(prob=0.0001,cumulative=0.9409)
628	6	(prob=0.0001,cumulative=0.9410)
629	2	(prob=0.0000,cumulative=0.9410)
630	4	(prob=0.0000,cumulative=0.9411)
631	7	(prob=0.0001,cumulative=0.9411)
632	15	(prob=0.0002,cumulative=0.9413)
633	9	(prob=0.0001,cumulative=0.9414)
634	11	(prob=0.0001,cumulative=0.9416)
635	8	(prob=0.0001,cumulative=0.9417)
636	6	(prob=0.0001,cumulative=0.9417)
637	5	(prob=0.0001,cumulative=0.9418)
638	8	(prob=0.0001,cumulative=0.9419)
639	9	(prob=0.0001,cumulative=0.9420)
640	10	(prob=0.0001,cumulative=0.9421)
641	10	(prob=0.0001,cumulative=0.9422)
642	12	(prob=0.0001,cumulative=0.9424)
643	9	(prob=0.0001,cumulative=0.9425)
644	10	(prob=0.0001,cumulative=0.9426)
645	7	(prob=0.0001,cumulative=0.9427)
646	6	(prob=0.0001,cumulative=0.9428)
647	10	(prob=0.0001,cumulative=0.9429)
648	9	(prob=0.0001,cumulative=0.9430)
649	13	(prob=0.0002,cumulative=0.9431)
650	6	(prob=0.0001,cumulative=0.9432)
651	11	(prob=0.0001,cumulative=0.9433)
652	9	(prob=0.0001,cumulative=0.9434)
653	11	(prob=0.0001,cumulative=0.9436)
654	9	(prob=0.0001,cumulative=0.9437)
655	3	(prob=0.0000,cumulative=0.9437)
656	10	(prob=0.0001,cumulative=0.9438)
657	14	(prob=0.0002,cumulative=0.9440)
658	10	(prob=0.0001,cumulative=0.9441)
659	8	(prob=0.0001,cumulative=0.9442)
660	12	(prob=0.0001,cumulative=0.9444)
661	7	(prob=0.0001,cumulative=0.9445)
662	6	(prob=0.0001,cumulative=0.9445)
663	9	(prob=0.0001,cumulative=0.9446)
664	9	(prob=0.0001,cumulative=0.9447)
665	4	(prob=0.0000,cumulative=0.9448)
666	6	(prob=0.0001,cumulative=0.9449)
667	3	(prob=0.0000,cumulative=0.9449)
668	6	(prob=0.0001,cumulative=0.9450)
669	5	(prob=0.0001,cumulative=0.9450)
670	17	(prob=0.0002,cumulative=0.9452)
671	12	(prob=0.0001,cumulative=0.9454)
672	9	(prob=0.0001,cumulative=0.9455)
673	4	(prob=0.0000,cumulative=0.9455)
674	13	(prob=0.0002,cumulative=0.9457)
675	5	(prob=0.0001,cumulative=0.9457)
676	4	(prob=0.0000,cumulative=0.9458)
677	5	(prob=0.0001,cumulative=0.9459)
678	9	(prob=0.0001,cumulative=0.9460)
679	13	(prob=0.0002,cumulative=0.9461)
680	6	(prob=0.0001,cumulative=0.9462)
681	10	(prob=0.0001,cumulative=0.9463)
682	4	(prob=0.0000,cumulative=0.9464)
683	5	(prob=0.0001,cumulative=0.9464)
684	7	(prob=0.0001,cumulative=0.9465)
685	11	(prob=0.0001,cumulative=0.9466)
686	5	(prob=0.0001,cumulative=0.9467)
687	5	(prob=0.0001,cumulative=0.9467)
688	9	(prob=0.0001,cumulative=0.9469)
689	10	(prob=0.0001,cumulative=0.9470)
690	11	(prob=0.0001,cumulative=0.9471)
691	5	(prob=0.0001,cumulative=0.9472)
692	7	(prob=0.0001,cumulative=0.9473)
693	5	(prob=0.0001,cumulative=0.9473)
694	7	(prob=0.0001,cumulative=0.9474)
695	5	(prob=0.0001,cumulative=0.9475)
696	10	(prob=0.0001,cumulative=0.9476)
697	8	(prob=0.0001,cumulative=0.9477)
698	10	(prob=0.0001,cumulative=0.9478)
699	7	(prob=0.0001,cumulative=0.9479)
700	5	(prob=0.0001,cumulative=0.9479)
701	3	(prob=0.0000,cumulative=0.9480)
702	6	(prob=0.0001,cumulative=0.9480)
703	6	(prob=0.0001,cumulative=0.9481)
704	6	(prob=0.0001,cumulative=0.9482)
705	6	(prob=0.0001,cumulative=0.9483)
706	4	(prob=0.0000,cumulative=0.9483)
707	4	(prob=0.0000,cumulative=0.9484)
708	6	(prob=0.0001,cumulative=0.9484)
709	8	(prob=0.0001,cumulative=0.9485)
710	9	(prob=0.0001,cumulative=0.9486)
711	3	(prob=0.0000,cumulative=0.9487)
712	5	(prob=0.0001,cumulative=0.9487)
713	8	(prob=0.0001,cumulative=0.9488)
714	3	(prob=0.0000,cumulative=0.9489)
715	4	(prob=0.0000,cumulative=0.9489)
716	7	(prob=0.0001,cumulative=0.9490)
717	4	(prob=0.0000,cumulative=0.9490)
718	9	(prob=0.0001,cumulative=0.9491)
719	10	(prob=0.0001,cumulative=0.9493)
720	6	(prob=0.0001,cumulative=0.9493)
721	6	(prob=0.0001,cumulative=0.9494)
722	6	(prob=0.0001,cumulative=0.9495)
723	8	(prob=0.0001,cumulative=0.9496)
724	9	(prob=0.0001,cumulative=0.9497)
725	5	(prob=0.0001,cumulative=0.9497)
726	8	(prob=0.0001,cumulative=0.9498)
727	5	(prob=0.0001,cumulative=0.9499)
728	12	(prob=0.0001,cumulative=0.9500)
729	4	(prob=0.0000,cumulative=0.9501)
730	4	(prob=0.0000,cumulative=0.9501)
731	9	(prob=0.0001,cumulative=0.9502)
732	8	(prob=0.0001,cumulative=0.9503)
733	6	(prob=0.0001,cumulative=0.9504)
734	6	(prob=0.0001,cumulative=0.9505)
735	7	(prob=0.0001,cumulative=0.9506)
736	4	(prob=0.0000,cumulative=0.9506)
737	9	(prob=0.0001,cumulative=0.9507)
738	2	(prob=0.0000,cumulative=0.9507)
739	17	(prob=0.0002,cumulative=0.9509)
740	8	(prob=0.0001,cumulative=0.9510)
741	10	(prob=0.0001,cumulative=0.9512)
742	6	(prob=0.0001,cumulative=0.9512)
743	8	(prob=0.0001,cumulative=0.9513)
744	11	(prob=0.0001,cumulative=0.9515)
745	7	(prob=0.0001,cumulative=0.9515)
746	7	(prob=0.0001,cumulative=0.9516)
747	8	(prob=0.0001,cumulative=0.9517)
748	5	(prob=0.0001,cumulative=0.9518)
749	3	(prob=0.0000,cumulative=0.9518)
750	10	(prob=0.0001,cumulative=0.9519)
751	11	(prob=0.0001,cumulative=0.9521)
752	5	(prob=0.0001,cumulative=0.9521)
753	11	(prob=0.0001,cumulative=0.9523)
754	6	(prob=0.0001,cumulative=0.9523)
755	9	(prob=0.0001,cumulative=0.9524)
756	7	(prob=0.0001,cumulative=0.9525)
757	10	(prob=0.0001,cumulative=0.9526)
758	8	(prob=0.0001,cumulative=0.9527)
759	6	(prob=0.0001,cumulative=0.9528)
760	5	(prob=0.0001,cumulative=0.9529)
761	9	(prob=0.0001,cumulative=0.9530)
762	5	(prob=0.0001,cumulative=0.9530)
763	8	(prob=0.0001,cumulative=0.9531)
764	12	(prob=0.0001,cumulative=0.9533)
765	9	(prob=0.0001,cumulative=0.9534)
766	5	(prob=0.0001,cumulative=0.9534)
767	7	(prob=0.0001,cumulative=0.9535)
768	7	(prob=0.0001,cumulative=0.9536)
769	4	(prob=0.0000,cumulative=0.9537)
770	5	(prob=0.0001,cumulative=0.9537)
771	7	(prob=0.0001,cumulative=0.9538)
772	6	(prob=0.0001,cumulative=0.9539)
773	6	(prob=0.0001,cumulative=0.9539)
774	5	(prob=0.0001,cumulative=0.9540)
775	4	(prob=0.0000,cumulative=0.9541)
776	6	(prob=0.0001,cumulative=0.9541)
777	10	(prob=0.0001,cumulative=0.9542)
778	8	(prob=0.0001,cumulative=0.9543)
779	10	(prob=0.0001,cumulative=0.9545)
780	10	(prob=0.0001,cumulative=0.9546)
781	6	(prob=0.0001,cumulative=0.9547)
782	8	(prob=0.0001,cumulative=0.9547)
783	3	(prob=0.0000,cumulative=0.9548)
784	6	(prob=0.0001,cumulative=0.9549)
785	5	(prob=0.0001,cumulative=0.9549)
786	7	(prob=0.0001,cumulative=0.9550)
787	4	(prob=0.0000,cumulative=0.9550)
788	8	(prob=0.0001,cumulative=0.9551)
789	7	(prob=0.0001,cumulative=0.9552)
790	6	(prob=0.0001,cumulative=0.9553)
791	9	(prob=0.0001,cumulative=0.9554)
792	7	(prob=0.0001,cumulative=0.9555)
793	5	(prob=0.0001,cumulative=0.9555)
794	5	(prob=0.0001,cumulative=0.9556)
795	6	(prob=0.0001,cumulative=0.9557)
796	4	(prob=0.0000,cumulative=0.9557)
797	6	(prob=0.0001,cumulative=0.9558)
798	7	(prob=0.0001,cumulative=0.9559)
799	7	(prob=0.0001,cumulative=0.9560)
800	3	(prob=0.0000,cumulative=0.9560)
801	9	(prob=0.0001,cumulative=0.9561)
802	13	(prob=0.0002,cumulative=0.9563)
803	7	(prob=0.0001,cumulative=0.9563)
804	5	(prob=0.0001,cumulative=0.9564)
805	3	(prob=0.0000,cumulative=0.9564)
806	6	(prob=0.0001,cumulative=0.9565)
807	4	(prob=0.0000,cumulative=0.9566)
808	7	(prob=0.0001,cumulative=0.9566)
809	5	(prob=0.0001,cumulative=0.9567)
810	2	(prob=0.0000,cumulative=0.9567)
811	12	(prob=0.0001,cumulative=0.9569)
812	3	(prob=0.0000,cumulative=0.9569)
813	5	(prob=0.0001,cumulative=0.9570)
814	5	(prob=0.0001,cumulative=0.9570)
815	6	(prob=0.0001,cumulative=0.9571)
816	3	(prob=0.0000,cumulative=0.9571)
817	4	(prob=0.0000,cumulative=0.9572)
818	7	(prob=0.0001,cumulative=0.9573)
819	4	(prob=0.0000,cumulative=0.9573)
820	6	(prob=0.0001,cumulative=0.9574)
821	4	(prob=0.0000,cumulative=0.9574)
822	3	(prob=0.0000,cumulative=0.9575)
823	4	(prob=0.0000,cumulative=0.9575)
824	5	(prob=0.0001,cumulative=0.9576)
825	5	(prob=0.0001,cumulative=0.9576)
826	6	(prob=0.0001,cumulative=0.9577)
827	1	(prob=0.0000,cumulative=0.9577)
828	5	(prob=0.0001,cumulative=0.9578)
829	3	(prob=0.0000,cumulative=0.9578)
830	5	(prob=0.0001,cumulative=0.9579)
831	5	(prob=0.0001,cumulative=0.9579)
832	4	(prob=0.0000,cumulative=0.9580)
833	6	(prob=0.0001,cumulative=0.9581)
834	12	(prob=0.0001,cumulative=0.9582)
835	10	(prob=0.0001,cumulative=0.9583)
836	5	(prob=0.0001,cumulative=0.9584)
837	4	(prob=0.0000,cumulative=0.9584)
838	9	(prob=0.0001,cumulative=0.9585)
839	9	(prob=0.0001,cumulative=0.9586)
840	3	(prob=0.0000,cumulative=0.9587)
841	5	(prob=0.0001,cumulative=0.9587)
842	3	(prob=0.0000,cumulative=0.9588)
843	5	(prob=0.0001,cumulative=0.9588)
844	6	(prob=0.0001,cumulative=0.9589)
845	4	(prob=0.0000,cumulative=0.9590)
846	2	(prob=0.0000,cumulative=0.9590)
847	6	(prob=0.0001,cumulative=0.9591)
848	3	(prob=0.0000,cumulative=0.9591)
849	4	(prob=0.0000,cumulative=0.9591)
850	1	(prob=0.0000,cumulative=0.9591)
851	7	(prob=0.0001,cumulative=0.9592)
852	2	(prob=0.0000,cumulative=0.9593)
853	6	(prob=0.0001,cumulative=0.9593)
854	4	(prob=0.0000,cumulative=0.9594)
855	3	(prob=0.0000,cumulative=0.9594)
856	5	(prob=0.0001,cumulative=0.9595)
857	5	(prob=0.0001,cumulative=0.9595)
858	3	(prob=0.0000,cumulative=0.9596)
859	2	(prob=0.0000,cumulative=0.9596)
860	1	(prob=0.0000,cumulative=0.9596)
861	4	(prob=0.0000,cumulative=0.9596)
862	5	(prob=0.0001,cumulative=0.9597)
863	4	(prob=0.0000,cumulative=0.9598)
864	5	(prob=0.0001,cumulative=0.9598)
865	4	(prob=0.0000,cumulative=0.9599)
866	2	(prob=0.0000,cumulative=0.9599)
867	4	(prob=0.0000,cumulative=0.9599)
868	3	(prob=0.0000,cumulative=0.9600)
869	5	(prob=0.0001,cumulative=0.9600)
870	3	(prob=0.0000,cumulative=0.9601)
871	5	(prob=0.0001,cumulative=0.9601)
872	3	(prob=0.0000,cumulative=0.9602)
873	2	(prob=0.0000,cumulative=0.9602)
874	4	(prob=0.0000,cumulative=0.9602)
875	2	(prob=0.0000,cumulative=0.9603)
876	4	(prob=0.0000,cumulative=0.9603)
877	6	(prob=0.0001,cumulative=0.9604)
878	1	(prob=0.0000,cumulative=0.9604)
879	8	(prob=0.0001,cumulative=0.9605)
880	7	(prob=0.0001,cumulative=0.9606)
881	3	(prob=0.0000,cumulative=0.9606)
882	6	(prob=0.0001,cumulative=0.9607)
883	7	(prob=0.0001,cumulative=0.9608)
884	3	(prob=0.0000,cumulative=0.9608)
885	3	(prob=0.0000,cumulative=0.9608)
886	4	(prob=0.0000,cumulative=0.9609)
887	3	(prob=0.0000,cumulative=0.9609)
888	5	(prob=0.0001,cumulative=0.9610)
889	2	(prob=0.0000,cumulative=0.9610)
890	3	(prob=0.0000,cumulative=0.9610)
891	3	(prob=0.0000,cumulative=0.9611)
892	5	(prob=0.0001,cumulative=0.9611)
893	2	(prob=0.0000,cumulative=0.9612)
894	4	(prob=0.0000,cumulative=0.9612)
895	6	(prob=0.0001,cumulative=0.9613)
896	5	(prob=0.0001,cumulative=0.9613)
897	4	(prob=0.0000,cumulative=0.9614)
898	7	(prob=0.0001,cumulative=0.9615)
899	3	(prob=0.0000,cumulative=0.9615)
900	2	(prob=0.0000,cumulative=0.9615)
901	4	(prob=0.0000,cumulative=0.9616)
902	6	(prob=0.0001,cumulative=0.9616)
903	3	(prob=0.0000,cumulative=0.9617)
904	3	(prob=0.0000,cumulative=0.9617)
905	4	(prob=0.0000,cumulative=0.9618)
906	3	(prob=0.0000,cumulative=0.9618)
907	1	(prob=0.0000,cumulative=0.9618)
908	5	(prob=0.0001,cumulative=0.9619)
909	5	(prob=0.0001,cumulative=0.9619)
910	4	(prob=0.0000,cumulative=0.9620)
911	5	(prob=0.0001,cumulative=0.9620)
912	5	(prob=0.0001,cumulative=0.9621)
913	5	(prob=0.0001,cumulative=0.9622)
914	4	(prob=0.0000,cumulative=0.9622)
915	5	(prob=0.0001,cumulative=0.9623)
916	7	(prob=0.0001,cumulative=0.9624)
917	9	(prob=0.0001,cumulative=0.9625)
918	2	(prob=0.0000,cumulative=0.9625)
919	4	(prob=0.0000,cumulative=0.9625)
920	3	(prob=0.0000,cumulative=0.9626)
921	4	(prob=0.0000,cumulative=0.9626)
922	2	(prob=0.0000,cumulative=0.9626)
923	3	(prob=0.0000,cumulative=0.9627)
924	8	(prob=0.0001,cumulative=0.9628)
925	2	(prob=0.0000,cumulative=0.9628)
926	2	(prob=0.0000,cumulative=0.9628)
927	4	(prob=0.0000,cumulative=0.9629)
928	2	(prob=0.0000,cumulative=0.9629)
929	9	(prob=0.0001,cumulative=0.9630)
930	6	(prob=0.0001,cumulative=0.9631)
931	7	(prob=0.0001,cumulative=0.9632)
932	5	(prob=0.0001,cumulative=0.9632)
933	3	(prob=0.0000,cumulative=0.9632)
934	1	(prob=0.0000,cumulative=0.9633)
935	4	(prob=0.0000,cumulative=0.9633)
936	2	(prob=0.0000,cumulative=0.9633)
937	3	(prob=0.0000,cumulative=0.9634)
938	4	(prob=0.0000,cumulative=0.9634)
939	4	(prob=0.0000,cumulative=0.9635)
940	5	(prob=0.0001,cumulative=0.9635)
941	5	(prob=0.0001,cumulative=0.9636)
942	6	(prob=0.0001,cumulative=0.9637)
943	5	(prob=0.0001,cumulative=0.9637)
944	3	(prob=0.0000,cumulative=0.9637)
945	6	(prob=0.0001,cumulative=0.9638)
946	6	(prob=0.0001,cumulative=0.9639)
947	7	(prob=0.0001,cumulative=0.9640)
948	1	(prob=0.0000,cumulative=0.9640)
949	3	(prob=0.0000,cumulative=0.9640)
950	1	(prob=0.0000,cumulative=0.9640)
951	5	(prob=0.0001,cumulative=0.9641)
952	4	(prob=0.0000,cumulative=0.9641)
953	1	(prob=0.0000,cumulative=0.9642)
954	7	(prob=0.0001,cumulative=0.9642)
955	9	(prob=0.0001,cumulative=0.9643)
956	3	(prob=0.0000,cumulative=0.9644)
957	6	(prob=0.0001,cumulative=0.9645)
958	3	(prob=0.0000,cumulative=0.9645)
959	4	(prob=0.0000,cumulative=0.9645)
960	2	(prob=0.0000,cumulative=0.9646)
961	3	(prob=0.0000,cumulative=0.9646)
962	6	(prob=0.0001,cumulative=0.9647)
963	4	(prob=0.0000,cumulative=0.9647)
964	7	(prob=0.0001,cumulative=0.9648)
965	5	(prob=0.0001,cumulative=0.9649)
966	4	(prob=0.0000,cumulative=0.9649)
967	5	(prob=0.0001,cumulative=0.9650)
968	5	(prob=0.0001,cumulative=0.9650)
969	7	(prob=0.0001,cumulative=0.9651)
970	4	(prob=0.0000,cumulative=0.9652)
971	3	(prob=0.0000,cumulative=0.9652)
972	3	(prob=0.0000,cumulative=0.9652)
973	3	(prob=0.0000,cumulative=0.9653)
974	4	(prob=0.0000,cumulative=0.9653)
975	2	(prob=0.0000,cumulative=0.9653)
976	3	(prob=0.0000,cumulative=0.9654)
977	5	(prob=0.0001,cumulative=0.9654)
978	2	(prob=0.0000,cumulative=0.9655)
979	5	(prob=0.0001,cumulative=0.9655)
980	6	(prob=0.0001,cumulative=0.9656)
982	2	(prob=0.0000,cumulative=0.9656)
983	6	(prob=0.0001,cumulative=0.9657)
984	4	(prob=0.0000,cumulative=0.9657)
985	5	(prob=0.0001,cumulative=0.9658)
986	2	(prob=0.0000,cumulative=0.9658)
987	6	(prob=0.0001,cumulative=0.9659)
988	2	(prob=0.0000,cumulative=0.9659)
989	2	(prob=0.0000,cumulative=0.9659)
990	3	(prob=0.0000,cumulative=0.9660)
991	6	(prob=0.0001,cumulative=0.9660)
992	8	(prob=0.0001,cumulative=0.9661)
993	3	(prob=0.0000,cumulative=0.9662)
994	5	(prob=0.0001,cumulative=0.9662)
995	3	(prob=0.0000,cumulative=0.9663)
996	4	(prob=0.0000,cumulative=0.9663)
997	6	(prob=0.0001,cumulative=0.9664)
998	4	(prob=0.0000,cumulative=0.9664)
999	1	(prob=0.0000,cumulative=0.9665)
1000	3	(prob=0.0000,cumulative=0.9665)
1001	4	(prob=0.0000,cumulative=0.9665)
1002	3	(prob=0.0000,cumulative=0.9666)
1003	5	(prob=0.0001,cumulative=0.9666)
1004	6	(prob=0.0001,cumulative=0.9667)
1005	3	(prob=0.0000,cumulative=0.9667)
1006	3	(prob=0.0000,cumulative=0.9668)
1007	1	(prob=0.0000,cumulative=0.9668)
1008	3	(prob=0.0000,cumulative=0.9668)
1009	2	(prob=0.0000,cumulative=0.9668)
1010	3	(prob=0.0000,cumulative=0.9669)
1011	5	(prob=0.0001,cumulative=0.9669)
1012	2	(prob=0.0000,cumulative=0.9670)
1013	1	(prob=0.0000,cumulative=0.9670)
1014	2	(prob=0.0000,cumulative=0.9670)
1015	2	(prob=0.0000,cumulative=0.9670)
1016	5	(prob=0.0001,cumulative=0.9671)
1017	4	(prob=0.0000,cumulative=0.9671)
1018	3	(prob=0.0000,cumulative=0.9672)
1019	1	(prob=0.0000,cumulative=0.9672)
1020	4	(prob=0.0000,cumulative=0.9672)
1021	7	(prob=0.0001,cumulative=0.9673)
1022	1	(prob=0.0000,cumulative=0.9673)
1023	6	(prob=0.0001,cumulative=0.9674)
1024	3	(prob=0.0000,cumulative=0.9674)
1025	3	(prob=0.0000,cumulative=0.9675)
1026	2	(prob=0.0000,cumulative=0.9675)
1027	4	(prob=0.0000,cumulative=0.9675)
1028	2	(prob=0.0000,cumulative=0.9676)
1029	3	(prob=0.0000,cumulative=0.9676)
1030	4	(prob=0.0000,cumulative=0.9676)
1031	3	(prob=0.0000,cumulative=0.9677)
1032	1	(prob=0.0000,cumulative=0.9677)
1033	1	(prob=0.0000,cumulative=0.9677)
1034	6	(prob=0.0001,cumulative=0.9678)
1035	1	(prob=0.0000,cumulative=0.9678)
1036	7	(prob=0.0001,cumulative=0.9679)
1037	3	(prob=0.0000,cumulative=0.9679)
1038	1	(prob=0.0000,cumulative=0.9679)
1039	3	(prob=0.0000,cumulative=0.9680)
1040	1	(prob=0.0000,cumulative=0.9680)
1041	2	(prob=0.0000,cumulative=0.9680)
1042	1	(prob=0.0000,cumulative=0.9680)
1043	6	(prob=0.0001,cumulative=0.9681)
1044	1	(prob=0.0000,cumulative=0.9681)
1045	2	(prob=0.0000,cumulative=0.9681)
1046	1	(prob=0.0000,cumulative=0.9681)
1047	3	(prob=0.0000,cumulative=0.9682)
1048	3	(prob=0.0000,cumulative=0.9682)
1049	3	(prob=0.0000,cumulative=0.9682)
1050	7	(prob=0.0001,cumulative=0.9683)
1051	6	(prob=0.0001,cumulative=0.9684)
1052	2	(prob=0.0000,cumulative=0.9684)
1053	5	(prob=0.0001,cumulative=0.9685)
1054	4	(prob=0.0000,cumulative=0.9685)
1055	5	(prob=0.0001,cumulative=0.9686)
1056	4	(prob=0.0000,cumulative=0.9686)
1057	1	(prob=0.0000,cumulative=0.9686)
1058	3	(prob=0.0000,cumulative=0.9687)
1059	3	(prob=0.0000,cumulative=0.9687)
1060	1	(prob=0.0000,cumulative=0.9687)
1061	5	(prob=0.0001,cumulative=0.9688)
1062	4	(prob=0.0000,cumulative=0.9688)
1063	4	(prob=0.0000,cumulative=0.9689)
1064	3	(prob=0.0000,cumulative=0.9689)
1065	4	(prob=0.0000,cumulative=0.9690)
1067	2	(prob=0.0000,cumulative=0.9690)
1068	7	(prob=0.0001,cumulative=0.9691)
1069	2	(prob=0.0000,cumulative=0.9691)
1071	3	(prob=0.0000,cumulative=0.9691)
1072	2	(prob=0.0000,cumulative=0.9692)
1074	4	(prob=0.0000,cumulative=0.9692)
1075	1	(prob=0.0000,cumulative=0.9692)
1076	3	(prob=0.0000,cumulative=0.9692)
1077	2	(prob=0.0000,cumulative=0.9693)
1078	3	(prob=0.0000,cumulative=0.9693)
1079	7	(prob=0.0001,cumulative=0.9694)
1080	1	(prob=0.0000,cumulative=0.9694)
1081	4	(prob=0.0000,cumulative=0.9695)
1082	4	(prob=0.0000,cumulative=0.9695)
1083	4	(prob=0.0000,cumulative=0.9695)
1085	4	(prob=0.0000,cumulative=0.9696)
1086	1	(prob=0.0000,cumulative=0.9696)
1087	5	(prob=0.0001,cumulative=0.9697)
1088	1	(prob=0.0000,cumulative=0.9697)
1089	3	(prob=0.0000,cumulative=0.9697)
1090	2	(prob=0.0000,cumulative=0.9697)
1091	3	(prob=0.0000,cumulative=0.9698)
1092	2	(prob=0.0000,cumulative=0.9698)
1093	2	(prob=0.0000,cumulative=0.9698)
1094	1	(prob=0.0000,cumulative=0.9698)
1095	4	(prob=0.0000,cumulative=0.9699)
1096	3	(prob=0.0000,cumulative=0.9699)
1097	2	(prob=0.0000,cumulative=0.9699)
1098	2	(prob=0.0000,cumulative=0.9700)
1099	3	(prob=0.0000,cumulative=0.9700)
1100	1	(prob=0.0000,cumulative=0.9700)
1102	1	(prob=0.0000,cumulative=0.9700)
1103	1	(prob=0.0000,cumulative=0.9700)
1104	1	(prob=0.0000,cumulative=0.9701)
1105	3	(prob=0.0000,cumulative=0.9701)
1106	5	(prob=0.0001,cumulative=0.9701)
1107	1	(prob=0.0000,cumulative=0.9702)
1108	7	(prob=0.0001,cumulative=0.9702)
1109	1	(prob=0.0000,cumulative=0.9703)
1111	2	(prob=0.0000,cumulative=0.9703)
1112	6	(prob=0.0001,cumulative=0.9703)
1113	2	(prob=0.0000,cumulative=0.9704)
1114	1	(prob=0.0000,cumulative=0.9704)
1115	2	(prob=0.0000,cumulative=0.9704)
1116	3	(prob=0.0000,cumulative=0.9704)
1117	3	(prob=0.0000,cumulative=0.9705)
1118	4	(prob=0.0000,cumulative=0.9705)
1119	5	(prob=0.0001,cumulative=0.9706)
1120	2	(prob=0.0000,cumulative=0.9706)
1121	3	(prob=0.0000,cumulative=0.9706)
1122	1	(prob=0.0000,cumulative=0.9707)
1123	1	(prob=0.0000,cumulative=0.9707)
1124	2	(prob=0.0000,cumulative=0.9707)
1125	1	(prob=0.0000,cumulative=0.9707)
1126	4	(prob=0.0000,cumulative=0.9708)
1127	5	(prob=0.0001,cumulative=0.9708)
1128	3	(prob=0.0000,cumulative=0.9709)
1129	1	(prob=0.0000,cumulative=0.9709)
1130	4	(prob=0.0000,cumulative=0.9709)
1131	2	(prob=0.0000,cumulative=0.9709)
1133	2	(prob=0.0000,cumulative=0.9710)
1134	2	(prob=0.0000,cumulative=0.9710)
1135	3	(prob=0.0000,cumulative=0.9710)
1136	2	(prob=0.0000,cumulative=0.9710)
1137	1	(prob=0.0000,cumulative=0.9711)
1138	4	(prob=0.0000,cumulative=0.9711)
1140	3	(prob=0.0000,cumulative=0.9711)
1141	2	(prob=0.0000,cumulative=0.9712)
1142	4	(prob=0.0000,cumulative=0.9712)
1143	4	(prob=0.0000,cumulative=0.9713)
1145	3	(prob=0.0000,cumulative=0.9713)
1146	4	(prob=0.0000,cumulative=0.9713)
1147	3	(prob=0.0000,cumulative=0.9714)
1148	2	(prob=0.0000,cumulative=0.9714)
1149	2	(prob=0.0000,cumulative=0.9714)
1150	3	(prob=0.0000,cumulative=0.9715)
1151	2	(prob=0.0000,cumulative=0.9715)
1152	2	(prob=0.0000,cumulative=0.9715)
1153	2	(prob=0.0000,cumulative=0.9715)
1155	1	(prob=0.0000,cumulative=0.9715)
1157	2	(prob=0.0000,cumulative=0.9716)
1158	3	(prob=0.0000,cumulative=0.9716)
1159	1	(prob=0.0000,cumulative=0.9716)
1160	4	(prob=0.0000,cumulative=0.9717)
1161	3	(prob=0.0000,cumulative=0.9717)
1162	2	(prob=0.0000,cumulative=0.9717)
1164	5	(prob=0.0001,cumulative=0.9718)
1165	5	(prob=0.0001,cumulative=0.9718)
1166	2	(prob=0.0000,cumulative=0.9719)
1167	3	(prob=0.0000,cumulative=0.9719)
1168	1	(prob=0.0000,cumulative=0.9719)
1170	2	(prob=0.0000,cumulative=0.9719)
1171	1	(prob=0.0000,cumulative=0.9720)
1172	2	(prob=0.0000,cumulative=0.9720)
1173	2	(prob=0.0000,cumulative=0.9720)
1174	2	(prob=0.0000,cumulative=0.9720)
1175	1	(prob=0.0000,cumulative=0.9720)
1176	1	(prob=0.0000,cumulative=0.9720)
1177	5	(prob=0.0001,cumulative=0.9721)
1178	2	(prob=0.0000,cumulative=0.9721)
1179	1	(prob=0.0000,cumulative=0.9721)
1180	2	(prob=0.0000,cumulative=0.9722)
1181	1	(prob=0.0000,cumulative=0.9722)
1182	2	(prob=0.0000,cumulative=0.9722)
1183	4	(prob=0.0000,cumulative=0.9723)
1184	3	(prob=0.0000,cumulative=0.9723)
1185	2	(prob=0.0000,cumulative=0.9723)
1186	3	(prob=0.0000,cumulative=0.9723)
1187	2	(prob=0.0000,cumulative=0.9724)
1188	2	(prob=0.0000,cumulative=0.9724)
1189	2	(prob=0.0000,cumulative=0.9724)
